frame,gaze
723.jpg,"(0.50, 0.60)"
1229.jpg,"(0.55, 0.45)"
1772.jpg,"(0.50, 0.60)"
2297.jpg,"(0.65, 0.60)"
2930.jpg,"(0.35, 0.45)"
3251.jpg,"(0.52, 0.68)"
3571.jpg,"(0.45, 0.55)"
3668.jpg,"(0.50, 0.45)"
3860.jpg,"(0.35, 0.65)"
3926.jpg,"(0.50, 0.50)"
4391.jpg,"(0.50, 0.60)"
4647.jpg,"(0.35, 0.45)"
5200.jpg,"(0.50, 0.60)"
5661.jpg,"(0.50, 0.60)"
7174.jpg,"(0.50, 0.65)"
8055.jpg,"(0.35, 0.78)"
8541.jpg,"(0.50, 0.60)"
9296.jpg,"(0.50, 0.50)"
10105.jpg,"(0.50, 0.50)"
10801.jpg,"(0.52, 0.70)"
11181.jpg,"(0.52, 0.63)"
11621.jpg,"(0.52, 0.68)"
11984.jpg,"(0.52, 0.64)"
12387.jpg,"(0.52, 0.65)"
12759.jpg,"(0.50, 0.60)"
13376.jpg,"(0.58, 0.62)"
13840.jpg,"(0.48, 0.65)"
14143.jpg,"(0.50, 0.60)"
14671.jpg,"(0.58, 0.67)"
15078.jpg,"(0.35, 0.80)"
15662.jpg,"(0.45, 0.65)"
18674.jpg,"(0.45, 0.62)"
19099.jpg,"(0.45, 0.68)"
20255.jpg,"(0.45, 0.75)"
20407.jpg,"(0.45, 0.70)"
21380.jpg,"(0.65, 0.75)"
22278.jpg,"(0.25, 0.60)"
22371.jpg,"(0.52, 0.54)"
22526.jpg,"(0.50, 0.60)"
22949.jpg,"(0.45, 0.60)"
23417.jpg,"(0.50, 0.60)"
24628.jpg,"(0.58, 0.64)"
24833.jpg,"(0.50, 0.75)"
26083.jpg,"(0.52, 0.54)"
26489.jpg,"(0.55, 0.48)"
30571.jpg,"(0.52, 0.54)"
