frame,gaze
264.jpg,"(0.65, 0.60)"
806.jpg,"(0.52, 0.60)"
967.jpg,"(0.50, 0.60)"
1469.jpg,"(0.50, 0.60)"
1720.jpg,"(0.58, 0.54)"
2367.jpg,"(0.52, 0.65)"
2694.jpg,"(0.50, 0.60)"
2756.jpg,"(0.65, 0.60)"
3033.jpg,"(0.52, 0.60)"
3413.jpg,"(0.50, 0.60)"
3477.jpg,"(0.45, 0.90)"
4140.jpg,"(0.35, 0.85)"
4150.jpg,"(0.50, 0.75)"
4384.jpg,"(0.52, 0.71)"
4632.jpg,"(0.55, 0.60)"
5516.jpg,"(0.50, 0.50)"
5793.jpg,"(0.58, 0.62)"
5922.jpg,"(0.50, 0.60)"
6195.jpg,"(0.50, 0.60)"
6420.jpg,"(0.50, 0.60)"
7114.jpg,"(0.50, 0.60)"
7211.jpg,"(0.52, 0.65)"
7409.jpg,"(0.50, 0.60)"
7666.jpg,"(0.50, 0.60)"
7903.jpg,"(0.58, 0.62)"
8173.jpg,"(0.50, 0.60)"
8387.jpg,"(0.50, 0.60)"
