frame,gaze
1118.jpg,"(0.45, 0.60)"
1783.jpg,"(0.52, 0.68)"
2006.jpg,"(0.45, 0.65)"
2531.jpg,"(0.65, 0.65)"
2768.jpg,"(0.45, 0.60)"
3047.jpg,"(0.35, 0.60)"
3258.jpg,"(0.45, 0.65)"
4025.jpg,"(0.35, 0.85)"
4415.jpg,"(0.65, 0.70)"
4508.jpg,"(0.50, 0.60)"
4564.jpg,"(0.50, 0.60)"
5232.jpg,"(0.45, 0.65)"
5281.jpg,"(0.45, 0.65)"
5354.jpg,"(0.45, 0.65)"
5378.jpg,"(0.45, 0.65)"
5451.jpg,"(0.52, 0.65)"
6047.jpg,"(0.65, 0.60)"
6130.jpg,"(0.35, 0.65)"
6310.jpg,"(0.52, 0.74)"
6423.jpg,"(0.45, 0.65)"
6694.jpg,"(0.52, 0.78)"
7171.jpg,"(0.35, 0.65)"
7730.jpg,"(0.45, 0.65)"
7987.jpg,"(0.52, 0.65)"
8186.jpg,"(0.54, 0.68)"
