frame,gaze
888.jpg,"(0.35, 0.78)"
1106.jpg,"(0.56, 0.67)"
1277.jpg,"(0.35, 0.45)"
1392.jpg,"(0.35, 0.55)"
2162.jpg,"(0.65, 0.70)"
2642.jpg,"(0.65, 0.85)"
4027.jpg,"(0.52, 0.64)"
4830.jpg,"(0.52, 0.64)"
7235.jpg,"(0.50, 0.65)"
9072.jpg,"(0.50, 0.65)"
9323.jpg,"(0.45, 0.65)"
9559.jpg,"(0.65, 0.70)"
9729.jpg,"(0.55, 0.60)"
9897.jpg,"(0.25, 0.70)"
10185.jpg,"(0.58, 0.67)"
10770.jpg,"(0.45, 0.65)"
11148.jpg,"(0.42, 0.71)"
11525.jpg,"(0.42, 0.83)"
11648.jpg,"(0.52, 0.76)"
11851.jpg,"(0.52, 0.64)"
11887.jpg,"(0.58, 0.64)"
12298.jpg,"(0.56, 0.71)"
12469.jpg,"(0.58, 0.62)"
12595.jpg,"(0.52, 0.64)"
12868.jpg,"(0.54, 0.63)"
12987.jpg,"(0.45, 0.80)"
13086.jpg,"(0.45, 0.75)"
13134.jpg,"(0.50, 0.60)"
13306.jpg,"(0.52, 0.68)"
13378.jpg,"(0.58, 0.54)"
13416.jpg,"(0.45, 0.75)"
13567.jpg,"(0.45, 0.80)"
13614.jpg,"(0.45, 0.65)"
13652.jpg,"(0.54, 0.68)"
13828.jpg,"(0.52, 0.68)"
13860.jpg,"(0.52, 0.74)"
14733.jpg,"(0.58, 0.72)"
15127.jpg,"(0.52, 0.78)"
