frame,gaze
979.jpg,"(0.54, 0.71)"
1219.jpg,"(0.50, 0.65)"
1468.jpg,"(0.65, 0.75)"
1545.jpg,"(0.52, 0.63)"
1681.jpg,"(0.45, 0.65)"
2153.jpg,"(0.35, 0.45)"
2433.jpg,"(0.42, 0.71)"
2550.jpg,"(0.45, 0.65)"
3192.jpg,"(0.45, 0.78)"
3542.jpg,"(0.58, 0.72)"
3983.jpg,"(0.25, 0.60)"
4103.jpg,"(0.58, 0.69)"
4516.jpg,"(0.50, 0.80)"
5322.jpg,"(0.52, 0.68)"
5625.jpg,"(0.75, 0.65)"
5979.jpg,"(0.50, 0.65)"
8174.jpg,"(0.58, 0.81)"
9068.jpg,"(0.52, 0.68)"
9533.jpg,"(0.52, 0.68)"
10233.jpg,"(0.60, 0.65)"
12115.jpg,"(0.35, 0.85)"
12328.jpg,"(0.50, 0.70)"
14618.jpg,"(0.65, 0.85)"
14756.jpg,"(0.65, 0.75)"
