frame,gaze
755.jpg,"(0.54, 0.78)"
977.jpg,"(0.52, 0.71)"
1456.jpg,"(0.52, 0.76)"
1559.jpg,"(0.35, 0.50)"
1626.jpg,"(0.35, 0.45)"
1818.jpg,"(0.75, 0.70)"
1907.jpg,"(0.50, 0.50)"
3582.jpg,"(0.52, 0.76)"
3945.jpg,"(0.65, 0.45)"
4067.jpg,"(0.58, 0.72)"
4122.jpg,"(0.52, 0.68)"
4417.jpg,"(0.55, 0.68)"
4869.jpg,"(0.54, 0.68)"
5087.jpg,"(0.48, 0.75)"
5372.jpg,"(0.52, 0.74)"
5573.jpg,"(0.45, 0.75)"
5753.jpg,"(0.52, 0.87)"
5973.jpg,"(0.52, 0.88)"
6025.jpg,"(0.54, 0.79)"
6554.jpg,"(0.35, 0.89)"
6663.jpg,"(0.45, 0.65)"
6898.jpg,"(0.35, 0.65)"
7081.jpg,"(0.50, 0.60)"
7222.jpg,"(0.58, 0.67)"
7668.jpg,"(0.52, 0.64)"
7742.jpg,"(0.52, 0.65)"
7950.jpg,"(0.52, 0.63)"
8103.jpg,"(0.55, 0.60)"
8302.jpg,"(0.52, 0.76)"
8736.jpg,"(0.25, 0.80)"
8894.jpg,"(0.52, 0.68)"
9272.jpg,"(0.50, 0.60)"
9453.jpg,"(0.52, 0.70)"
9683.jpg,"(0.45, 0.72)"
9800.jpg,"(0.72, 0.65)"
10376.jpg,"(0.58, 0.64)"
10699.jpg,"(0.52, 0.65)"
11132.jpg,"(0.45, 0.65)"
11396.jpg,"(0.52, 0.68)"
11582.jpg,"(0.45, 0.75)"
14758.jpg,"(0.48, 0.69)"
14997.jpg,"(0.45, 0.70)"
16049.jpg,"(0.45, 0.70)"
16399.jpg,"(0.54, 0.67)"
16619.jpg,"(0.52, 0.68)"
17229.jpg,"(0.52, 0.76)"
17289.jpg,"(0.48, 0.76)"
17535.jpg,"(0.48, 0.75)"
17684.jpg,"(0.48, 0.65)"
18111.jpg,"(0.45, 0.75)"
18168.jpg,"(0.52, 0.76)"
18277.jpg,"(0.65, 0.60)"
18418.jpg,"(0.54, 0.62)"
18478.jpg,"(0.25, 0.80)"
18599.jpg,"(0.35, 0.45)"
19117.jpg,"(0.75, 0.80)"
19727.jpg,"(0.50, 0.65)"
19845.jpg,"(0.58, 0.62)"
19997.jpg,"(0.50, 0.70)"
