frame,gaze
3024.jpg,"(0.45, 0.75)"
3769.jpg,"(0.65, 0.70)"
3895.jpg,"(0.45, 0.65)"
3937.jpg,"(0.45, 0.75)"
4054.jpg,"(0.45, 0.55)"
5395.jpg,"(0.65, 0.48)"
5533.jpg,"(0.45, 0.60)"
5879.jpg,"(0.55, 0.50)"
6082.jpg,"(0.65, 0.68)"
7337.jpg,"(0.52, 0.64)"
8558.jpg,"(0.25, 0.30)"
8790.jpg,"(0.45, 0.55)"
9342.jpg,"(0.85, 0.75)"
9605.jpg,"(0.65, 0.60)"
9705.jpg,"(0.52, 0.68)"
10083.jpg,"(0.65, 0.65)"
10172.jpg,"(0.52, 0.64)"
10461.jpg,"(0.45, 0.70)"
11643.jpg,"(0.45, 0.60)"
11782.jpg,"(0.45, 0.45)"
11868.jpg,"(0.54, 0.63)"
12810.jpg,"(0.35, 0.70)"
13033.jpg,"(0.45, 0.65)"
13221.jpg,"(0.45, 0.60)"
14256.jpg,"(0.85, 0.75)"
14452.jpg,"(0.35, 0.65)"
15310.jpg,"(0.54, 0.62)"
15809.jpg,"(0.25, 0.75)"
16276.jpg,"(0.35, 0.65)"
16566.jpg,"(0.35, 0.65)"
16711.jpg,"(0.35, 0.75)"
16923.jpg,"(0.35, 0.65)"
18395.jpg,"(0.45, 0.70)"
19389.jpg,"(0.45, 0.65)"
20183.jpg,"(0.48, 0.65)"
20742.jpg,"(0.45, 0.50)"
20892.jpg,"(0.50, 0.45)"
21083.jpg,"(0.45, 0.65)"
21277.jpg,"(0.52, 0.48)"
21939.jpg,"(0.52, 0.64)"
23467.jpg,"(0.35, 0.75)"
24236.jpg,"(0.58, 0.62)"
24479.jpg,"(0.35, 0.65)"
25243.jpg,"(0.75, 0.80)"
25477.jpg,"(0.50, 0.65)"
25706.jpg,"(0.65, 0.64)"
25920.jpg,"(0.35, 0.70)"
26190.jpg,"(0.48, 0.65)"
26577.jpg,"(0.50, 0.65)"
27694.jpg,"(0.45, 0.55)"
28169.jpg,"(0.38, 0.75)"
29137.jpg,"(0.45, 0.65)"
29222.jpg,"(0.45, 0.50)"
29596.jpg,"(0.38, 0.57)"
30209.jpg,"(0.48, 0.62)"
30739.jpg,"(0.45, 0.65)"
31573.jpg,"(0.45, 0.75)"
32118.jpg,"(0.55, 0.65)"
32343.jpg,"(0.58, 0.62)"
32439.jpg,"(0.38, 0.76)"
33062.jpg,"(0.52, 0.68)"
34348.jpg,"(0.65, 0.70)"
34591.jpg,"(0.45, 0.65)"
34715.jpg,"(0.35, 0.50)"
35610.jpg,"(0.65, 0.75)"
36461.jpg,"(0.35, 0.75)"
36729.jpg,"(0.45, 0.65)"
37001.jpg,"(0.42, 0.75)"
37280.jpg,"(0.58, 0.72)"
