frame,gaze
462.jpg,"(0.56, 0.64)"
861.jpg,"(0.56, 0.63)"
1082.jpg,"(0.65, 0.58)"
1331.jpg,"(0.50, 0.65)"
1363.jpg,"(0.45, 0.60)"
1519.jpg,"(0.52, 0.63)"
1707.jpg,"(0.50, 0.60)"
1961.jpg,"(0.52, 0.64)"
2009.jpg,"(0.50, 0.60)"
2353.jpg,"(0.52, 0.78)"
2656.jpg,"(0.50, 0.60)"
2744.jpg,"(0.65, 0.60)"
3815.jpg,"(0.45, 0.65)"
4078.jpg,"(0.52, 0.64)"
4194.jpg,"(0.52, 0.60)"
4470.jpg,"(0.45, 0.60)"
4709.jpg,"(0.45, 0.60)"
5267.jpg,"(0.50, 0.60)"
5502.jpg,"(0.45, 0.60)"
6196.jpg,"(0.45, 0.60)"
