frame,gaze
363.jpg,"(0.52, 0.60)"
1139.jpg,"(0.65, 0.75)"
1358.jpg,"(0.50, 0.65)"
1426.jpg,"(0.50, 0.60)"
1560.jpg,"(0.50, 0.65)"
1597.jpg,"(0.52, 0.63)"
1831.jpg,"(0.45, 0.60)"
1884.jpg,"(0.35, 0.60)"
2329.jpg,"(0.45, 0.60)"
2924.jpg,"(0.45, 0.65)"
2982.jpg,"(0.55, 0.65)"
3026.jpg,"(0.35, 0.65)"
3050.jpg,"(0.50, 0.65)"
3193.jpg,"(0.35, 0.45)"
3303.jpg,"(0.45, 0.70)"
4108.jpg,"(0.65, 0.75)"
4169.jpg,"(0.45, 0.75)"
4265.jpg,"(0.45, 0.60)"
4719.jpg,"(0.58, 0.76)"
4970.jpg,"(0.50, 0.75)"
5334.jpg,"(0.35, 0.70)"
5439.jpg,"(0.45, 0.55)"
5739.jpg,"(0.45, 0.65)"
6071.jpg,"(0.52, 0.83)"
6210.jpg,"(0.50, 0.80)"
6440.jpg,"(0.50, 0.65)"
6645.jpg,"(0.25, 0.70)"
