frame,gaze
938.jpg,"(0.50, 0.70)"
1570.jpg,"(0.35, 0.80)"
2239.jpg,"(0.52, 0.78)"
4168.jpg,"(0.35, 0.45)"
5170.jpg,"(0.65, 0.75)"
6347.jpg,"(0.65, 0.65)"
7489.jpg,"(0.75, 0.80)"
9136.jpg,"(0.45, 0.75)"
9545.jpg,"(0.45, 0.62)"
10133.jpg,"(0.45, 0.75)"
10426.jpg,"(0.48, 0.65)"
10946.jpg,"(0.50, 0.75)"
11144.jpg,"(0.65, 0.75)"
11818.jpg,"(0.58, 0.74)"
13133.jpg,"(0.58, 0.69)"
13557.jpg,"(0.54, 0.72)"
14340.jpg,"(0.38, 0.75)"
14920.jpg,"(0.45, 0.65)"
15144.jpg,"(0.52, 0.74)"
19313.jpg,"(0.45, 0.65)"
19611.jpg,"(0.45, 0.75)"
19918.jpg,"(0.75, 0.75)"
20191.jpg,"(0.52, 0.78)"
21127.jpg,"(0.45, 0.65)"
21360.jpg,"(0.52, 0.76)"
21707.jpg,"(0.35, 0.75)"
23113.jpg,"(0.58, 0.72)"
23502.jpg,"(0.52, 0.68)"
23779.jpg,"(0.25, 0.85)"
25581.jpg,"(0.52, 0.64)"
25767.jpg,"(0.54, 0.68)"
25994.jpg,"(0.52, 0.74)"
26761.jpg,"(0.52, 0.68)"
27407.jpg,"(0.50, 0.60)"
28046.jpg,"(0.50, 0.60)"
28547.jpg,"(0.50, 0.60)"
