frame,gaze
2567.jpg,"(0.50, 0.50)"
2647.jpg,"(0.50, 0.60)"
2929.jpg,"(0.50, 0.60)"
3026.jpg,"(0.55, 0.85)"
3127.jpg,"(0.65, 0.75)"
3339.jpg,"(0.50, 0.50)"
3700.jpg,"(0.55, 0.85)"
3863.jpg,"(0.58, 0.69)"
4248.jpg,"(0.50, 0.65)"
4312.jpg,"(0.45, 0.65)"
5086.jpg,"(0.58, 0.69)"
6465.jpg,"(0.58, 0.67)"
6986.jpg,"(0.75, 0.70)"
7422.jpg,"(0.65, 0.75)"
7581.jpg,"(0.52, 0.68)"
7923.jpg,"(0.54, 0.76)"
8918.jpg,"(0.58, 0.79)"
9288.jpg,"(0.58, 0.72)"
11117.jpg,"(0.54, 0.67)"
11299.jpg,"(0.52, 0.68)"
13635.jpg,"(0.75, 0.75)"
13900.jpg,"(0.45, 0.55)"
14585.jpg,"(0.54, 0.72)"
14787.jpg,"(0.58, 0.72)"
14985.jpg,"(0.54, 0.72)"
15233.jpg,"(0.58, 0.69)"
15306.jpg,"(0.58, 0.72)"
15725.jpg,"(0.35, 0.45)"
