frame,gaze
1442.jpg,"(0.52, 0.58)"
1705.jpg,"(0.52, 0.60)"
2354.jpg,"(0.50, 0.45)"
2593.jpg,"(0.58, 0.60)"
2849.jpg,"(0.45, 0.55)"
3245.jpg,"(0.50, 0.45)"
3390.jpg,"(0.50, 0.60)"
3681.jpg,"(0.52, 0.58)"
3882.jpg,"(0.52, 0.60)"
4060.jpg,"(0.50, 0.45)"
4238.jpg,"(0.35, 0.60)"
4334.jpg,"(0.45, 0.55)"
4360.jpg,"(0.35, 0.65)"
4454.jpg,"(0.50, 0.60)"
4522.jpg,"(0.52, 0.48)"
4655.jpg,"(0.50, 0.45)"
4740.jpg,"(0.52, 0.48)"
4789.jpg,"(0.53, 0.48)"
4812.jpg,"(0.52, 0.48)"
5121.jpg,"(0.35, 0.45)"
5457.jpg,"(0.58, 0.52)"
5597.jpg,"(0.52, 0.48)"
6086.jpg,"(0.62, 0.58)"
6527.jpg,"(0.50, 0.60)"
