frame,gaze
137.jpg,"(0.50, 0.70)"
379.jpg,"(0.65, 0.70)"
496.jpg,"(0.45, 0.65)"
803.jpg,"(0.25, 0.75)"
1332.jpg,"(0.52, 0.64)"
1506.jpg,"(0.56, 0.68)"
1711.jpg,"(0.50, 0.50)"
4415.jpg,"(0.50, 0.65)"
4925.jpg,"(0.52, 0.71)"
5063.jpg,"(0.45, 0.65)"
5463.jpg,"(0.50, 0.60)"
5565.jpg,"(0.50, 0.70)"
5819.jpg,"(0.35, 0.55)"
6115.jpg,"(0.65, 0.75)"
8522.jpg,"(0.45, 0.45)"
8710.jpg,"(0.50, 0.70)"
8992.jpg,"(0.50, 0.45)"
12043.jpg,"(0.65, 0.78)"
12311.jpg,"(0.35, 0.65)"
12489.jpg,"(0.35, 0.65)"
12668.jpg,"(0.54, 0.56)"
12875.jpg,"(0.45, 0.65)"
13085.jpg,"(0.50, 0.30)"
13218.jpg,"(0.45, 0.35)"
13409.jpg,"(0.90, 0.35)"
