frame,gaze
179.jpg,"(0.45, 0.78)"
309.jpg,"(0.58, 0.67)"
338.jpg,"(0.52, 0.68)"
433.jpg,"(0.45, 0.55)"
590.jpg,"(0.45, 0.60)"
680.jpg,"(0.58, 0.67)"
723.jpg,"(0.35, 0.45)"
1126.jpg,"(0.50, 0.60)"
1309.jpg,"(0.52, 0.74)"
1351.jpg,"(0.45, 0.75)"
4327.jpg,"(0.45, 0.78)"
4367.jpg,"(0.45, 0.85)"
4567.jpg,"(0.35, 0.65)"
4732.jpg,"(0.52, 0.68)"
6813.jpg,"(0.52, 0.84)"
6911.jpg,"(0.50, 0.85)"
6968.jpg,"(0.45, 0.80)"
7179.jpg,"(0.35, 0.78)"
7218.jpg,"(0.35, 0.65)"
7277.jpg,"(0.65, 0.75)"
7428.jpg,"(0.35, 0.65)"
7459.jpg,"(0.45, 0.85)"
7497.jpg,"(0.52, 0.74)"
8051.jpg,"(0.45, 0.75)"
8198.jpg,"(0.50, 0.60)"
8486.jpg,"(0.35, 0.75)"
8556.jpg,"(0.35, 0.45)"
8816.jpg,"(0.58, 0.79)"
9563.jpg,"(0.45, 0.65)"
9816.jpg,"(0.45, 0.65)"
9935.jpg,"(0.35, 0.65)"
10140.jpg,"(0.45, 0.65)"
10240.jpg,"(0.45, 0.75)"
10467.jpg,"(0.50, 0.60)"
10521.jpg,"(0.62, 0.78)"
10636.jpg,"(0.58, 0.62)"
10818.jpg,"(0.68, 0.65)"
10877.jpg,"(0.52, 0.74)"
10928.jpg,"(0.45, 0.70)"
11326.jpg,"(0.65, 0.45)"
12085.jpg,"(0.65, 0.85)"
12488.jpg,"(0.50, 0.65)"
13122.jpg,"(0.25, 0.75)"
13215.jpg,"(0.45, 0.60)"
13601.jpg,"(0.65, 0.68)"
14439.jpg,"(0.45, 0.65)"
14508.jpg,"(0.42, 0.65)"
14872.jpg,"(0.35, 0.60)"
14959.jpg,"(0.65, 0.70)"
15018.jpg,"(0.65, 0.68)"
15863.jpg,"(0.50, 0.50)"
16053.jpg,"(0.58, 0.63)"
16719.jpg,"(0.35, 0.65)"
16830.jpg,"(0.75, 0.80)"
16904.jpg,"(0.52, 0.65)"
17083.jpg,"(0.75, 0.65)"
17180.jpg,"(0.35, 0.52)"
17658.jpg,"(0.25, 0.80)"
17703.jpg,"(0.45, 0.60)"
19198.jpg,"(0.85, 0.65)"
19290.jpg,"(0.45, 0.65)"
19696.jpg,"(0.65, 0.75)"
19976.jpg,"(0.58, 0.67)"
20212.jpg,"(0.65, 0.70)"
20808.jpg,"(0.35, 0.75)"
20854.jpg,"(0.45, 0.35)"
20997.jpg,"(0.65, 0.78)"
21396.jpg,"(0.50, 0.60)"
21491.jpg,"(0.50, 0.50)"
