frame,gaze
361.jpg,"(0.58, 0.72)"
492.jpg,"(0.50, 0.65)"
1499.jpg,"(0.55, 0.65)"
1775.jpg,"(0.50, 0.60)"
2137.jpg,"(0.50, 0.60)"
2537.jpg,"(0.50, 0.70)"
2749.jpg,"(0.58, 0.65)"
3159.jpg,"(0.65, 0.65)"
3305.jpg,"(0.65, 0.80)"
3516.jpg,"(0.75, 0.78)"
3757.jpg,"(0.65, 0.75)"
4816.jpg,"(0.58, 0.62)"
5027.jpg,"(0.50, 0.60)"
5811.jpg,"(0.45, 0.68)"
6006.jpg,"(0.50, 0.60)"
6103.jpg,"(0.55, 0.60)"
6489.jpg,"(0.50, 0.65)"
6929.jpg,"(0.45, 0.65)"
7000.jpg,"(0.45, 0.65)"
7208.jpg,"(0.45, 0.65)"
7235.jpg,"(0.45, 0.65)"
7455.jpg,"(0.50, 0.65)"
7558.jpg,"(0.52, 0.78)"
7618.jpg,"(0.52, 0.78)"
7667.jpg,"(0.50, 0.70)"
8300.jpg,"(0.65, 0.78)"
8463.jpg,"(0.65, 0.70)"
8710.jpg,"(0.55, 0.82)"
8948.jpg,"(0.50, 0.60)"
9144.jpg,"(0.50, 0.75)"
9481.jpg,"(0.65, 0.75)"
9621.jpg,"(0.50, 0.75)"
10033.jpg,"(0.65, 0.80)"
10157.jpg,"(0.50, 0.80)"
10355.jpg,"(0.75, 0.75)"
10544.jpg,"(0.35, 0.55)"
10650.jpg,"(0.65, 0.65)"
10765.jpg,"(0.35, 0.60)"
