frame,gaze
456.jpg,"(0.35, 0.65)"
1017.jpg,"(0.50, 0.65)"
1147.jpg,"(0.58, 0.49)"
1364.jpg,"(0.50, 0.60)"
1871.jpg,"(0.50, 0.65)"
2061.jpg,"(0.50, 0.60)"
2347.jpg,"(0.50, 0.55)"
2364.jpg,"(0.45, 0.65)"
2680.jpg,"(0.50, 0.75)"
3173.jpg,"(0.35, 0.65)"
3344.jpg,"(0.60, 0.65)"
4401.jpg,"(0.35, 0.65)"
4425.jpg,"(0.35, 0.65)"
4512.jpg,"(0.25, 0.45)"
4686.jpg,"(0.45, 0.65)"
5116.jpg,"(0.35, 0.65)"
5478.jpg,"(0.35, 0.65)"
5984.jpg,"(0.35, 0.65)"
6271.jpg,"(0.50, 0.60)"
6324.jpg,"(0.45, 0.65)"
