frame,gaze
116.jpg,"(0.35, 0.65)"
384.jpg,"(0.50, 0.60)"
885.jpg,"(0.50, 0.60)"
950.jpg,"(0.50, 0.50)"
1956.jpg,"(0.50, 0.65)"
2103.jpg,"(0.42, 0.75)"
2619.jpg,"(0.45, 0.65)"
2655.jpg,"(0.55, 0.65)"
4336.jpg,"(0.45, 0.75)"
4596.jpg,"(0.50, 0.60)"
4690.jpg,"(0.35, 0.60)"
4924.jpg,"(0.52, 0.64)"
5421.jpg,"(0.45, 0.75)"
5892.jpg,"(0.52, 0.64)"
6090.jpg,"(0.35, 0.65)"
7439.jpg,"(0.52, 0.76)"
8320.jpg,"(0.45, 0.65)"
8499.jpg,"(0.58, 0.60)"
9074.jpg,"(0.45, 0.75)"
9810.jpg,"(0.85, 0.65)"
10696.jpg,"(0.52, 0.68)"
10958.jpg,"(0.50, 0.70)"
11139.jpg,"(0.45, 0.60)"
11265.jpg,"(0.55, 0.60)"
12236.jpg,"(0.52, 0.64)"
12480.jpg,"(0.35, 0.58)"
12843.jpg,"(0.35, 0.65)"
13057.jpg,"(0.45, 0.55)"
13124.jpg,"(0.45, 0.65)"
14324.jpg,"(0.58, 0.72)"
14433.jpg,"(0.52, 0.63)"
14525.jpg,"(0.65, 0.80)"
14824.jpg,"(0.45, 0.75)"
14910.jpg,"(0.50, 0.60)"
15024.jpg,"(0.75, 0.60)"
15133.jpg,"(0.65, 0.60)"
15224.jpg,"(0.54, 0.57)"
16132.jpg,"(0.35, 0.65)"
16737.jpg,"(0.35, 0.75)"
17260.jpg,"(0.50, 0.60)"
17311.jpg,"(0.35, 0.45)"
17423.jpg,"(0.50, 0.60)"
17526.jpg,"(0.52, 0.64)"
17624.jpg,"(0.35, 0.65)"
17692.jpg,"(0.35, 0.50)"
18000.jpg,"(0.50, 0.60)"
18217.jpg,"(0.45, 0.60)"
19033.jpg,"(0.52, 0.76)"
19205.jpg,"(0.65, 0.65)"
19450.jpg,"(0.35, 0.75)"
19793.jpg,"(0.48, 0.72)"
19927.jpg,"(0.45, 0.68)"
20177.jpg,"(0.42, 0.65)"
20231.jpg,"(0.45, 0.60)"
21250.jpg,"(0.45, 0.65)"
21408.jpg,"(0.45, 0.60)"
21938.jpg,"(0.52, 0.64)"
23336.jpg,"(0.45, 0.65)"
23479.jpg,"(0.45, 0.60)"
24392.jpg,"(0.45, 0.65)"
