frame,gaze
176.jpg,"(0.52, 0.68)"
351.jpg,"(0.52, 0.60)"
442.jpg,"(0.35, 0.85)"
822.jpg,"(0.52, 0.64)"
1228.jpg,"(0.35, 0.68)"
1545.jpg,"(0.45, 0.60)"
1632.jpg,"(0.52, 0.49)"
2371.jpg,"(0.65, 0.75)"
2479.jpg,"(0.50, 0.60)"
3001.jpg,"(0.52, 0.64)"
3273.jpg,"(0.50, 0.60)"
3311.jpg,"(0.52, 0.68)"
3641.jpg,"(0.50, 0.60)"
3734.jpg,"(0.58, 0.79)"
3787.jpg,"(0.50, 0.50)"
3872.jpg,"(0.50, 0.45)"
3951.jpg,"(0.45, 0.45)"
4150.jpg,"(0.65, 0.70)"
4352.jpg,"(0.50, 0.55)"
4715.jpg,"(0.50, 0.60)"
4766.jpg,"(0.55, 0.65)"
4883.jpg,"(0.65, 0.65)"
5324.jpg,"(0.52, 0.64)"
5737.jpg,"(0.45, 0.55)"
6003.jpg,"(0.58, 0.67)"
6321.jpg,"(0.35, 0.75)"
6862.jpg,"(0.65, 0.85)"
6903.jpg,"(0.58, 0.64)"
7253.jpg,"(0.52, 0.60)"
7376.jpg,"(0.52, 0.60)"
8423.jpg,"(0.54, 0.62)"
8593.jpg,"(0.52, 0.60)"
9355.jpg,"(0.45, 0.65)"
9612.jpg,"(0.45, 0.75)"
9726.jpg,"(0.50, 0.55)"
10444.jpg,"(0.65, 0.70)"
10947.jpg,"(0.52, 0.54)"
11042.jpg,"(0.35, 0.75)"
11222.jpg,"(0.65, 0.52)"
11661.jpg,"(0.50, 0.75)"
12020.jpg,"(0.52, 0.64)"
13191.jpg,"(0.52, 0.68)"
13534.jpg,"(0.45, 0.55)"
13694.jpg,"(0.50, 0.50)"
13775.jpg,"(0.50, 0.50)"
14145.jpg,"(0.65, 0.65)"
14232.jpg,"(0.52, 0.68)"
14980.jpg,"(0.52, 0.64)"
15577.jpg,"(0.50, 0.60)"
15819.jpg,"(0.52, 0.61)"
16024.jpg,"(0.52, 0.76)"
16110.jpg,"(0.58, 0.56)"
17308.jpg,"(0.65, 0.70)"
