frame,gaze
1204.jpg,"(0.45, 0.85)"
1312.jpg,"(0.52, 0.64)"
1407.jpg,"(0.35, 0.75)"
1472.jpg,"(0.35, 0.75)"
1589.jpg,"(0.75, 0.65)"
1744.jpg,"(0.50, 0.60)"
1843.jpg,"(0.45, 0.75)"
1961.jpg,"(0.35, 0.85)"
2035.jpg,"(0.35, 0.75)"
2082.jpg,"(0.35, 0.78)"
2200.jpg,"(0.58, 0.76)"
2320.jpg,"(0.50, 0.65)"
2579.jpg,"(0.45, 0.55)"
2832.jpg,"(0.48, 0.75)"
3254.jpg,"(0.50, 0.50)"
3960.jpg,"(0.45, 0.65)"
4584.jpg,"(0.58, 0.72)"
5451.jpg,"(0.50, 0.50)"
6587.jpg,"(0.50, 0.60)"
7175.jpg,"(0.52, 0.58)"
8107.jpg,"(0.65, 0.85)"
8528.jpg,"(0.54, 0.89)"
8623.jpg,"(0.58, 0.72)"
8741.jpg,"(0.55, 0.65)"
8983.jpg,"(0.35, 0.65)"
9123.jpg,"(0.45, 0.65)"
10285.jpg,"(0.45, 0.65)"
10547.jpg,"(0.58, 0.67)"
11134.jpg,"(0.52, 0.56)"
11236.jpg,"(0.58, 0.72)"
12267.jpg,"(0.58, 0.76)"
12517.jpg,"(0.50, 0.60)"
12960.jpg,"(0.35, 0.60)"
13795.jpg,"(0.52, 0.68)"
14139.jpg,"(0.45, 0.65)"
14348.jpg,"(0.50, 0.65)"
14675.jpg,"(0.55, 0.65)"
14741.jpg,"(0.52, 0.60)"
15027.jpg,"(0.50, 0.60)"
15329.jpg,"(0.35, 0.65)"
15514.jpg,"(0.45, 0.75)"
16348.jpg,"(0.35, 0.75)"
16883.jpg,"(0.52, 0.78)"
16953.jpg,"(0.52, 0.78)"
17128.jpg,"(0.65, 0.75)"
17546.jpg,"(0.50, 0.65)"
18505.jpg,"(0.55, 0.85)"
18683.jpg,"(0.52, 0.72)"
18821.jpg,"(0.45, 0.65)"
19062.jpg,"(0.50, 0.65)"
19515.jpg,"(0.50, 0.60)"
20212.jpg,"(0.48, 0.65)"
20422.jpg,"(0.52, 0.74)"
21051.jpg,"(0.50, 0.60)"
21107.jpg,"(0.58, 0.67)"
21234.jpg,"(0.58, 0.67)"
21380.jpg,"(0.54, 0.68)"
21926.jpg,"(0.48, 0.56)"
22056.jpg,"(0.52, 0.64)"
22209.jpg,"(0.58, 0.67)"
22446.jpg,"(0.45, 0.70)"
22802.jpg,"(0.45, 0.65)"
23948.jpg,"(0.58, 0.62)"
24275.jpg,"(0.65, 0.65)"
24513.jpg,"(0.58, 0.72)"
24910.jpg,"(0.50, 0.75)"
25017.jpg,"(0.50, 0.45)"
25104.jpg,"(0.25, 0.60)"
