frame,gaze
125.jpg,"(0.50, 0.60)"
549.jpg,"(0.52, 0.68)"
874.jpg,"(0.35, 0.65)"
1068.jpg,"(0.65, 0.65)"
1577.jpg,"(0.50, 0.60)"
2295.jpg,"(0.52, 0.38)"
2412.jpg,"(0.35, 0.65)"
2500.jpg,"(0.56, 0.64)"
2712.jpg,"(0.50, 0.60)"
3171.jpg,"(0.50, 0.60)"
3227.jpg,"(0.50, 0.60)"
3334.jpg,"(0.50, 0.60)"
3343.jpg,"(0.50, 0.60)"
3488.jpg,"(0.85, 0.60)"
3562.jpg,"(0.75, 0.60)"
4065.jpg,"(0.35, 0.65)"
4176.jpg,"(0.65, 0.65)"
4204.jpg,"(0.35, 0.65)"
4395.jpg,"(0.65, 0.58)"
4670.jpg,"(0.60, 0.70)"
5252.jpg,"(0.50, 0.60)"
5364.jpg,"(0.75, 0.60)"
5415.jpg,"(0.50, 0.60)"
5538.jpg,"(0.50, 0.60)"
5651.jpg,"(0.65, 0.65)"
5798.jpg,"(0.50, 0.45)"
5898.jpg,"(0.50, 0.50)"
