frame,gaze
563.jpg,"(0.35, 0.65)"
1009.jpg,"(0.35, 0.65)"
1287.jpg,"(0.65, 0.58)"
1798.jpg,"(0.50, 0.60)"
2298.jpg,"(0.50, 0.65)"
2597.jpg,"(0.45, 0.60)"
2852.jpg,"(0.75, 0.70)"
2925.jpg,"(0.50, 0.45)"
3157.jpg,"(0.50, 0.65)"
3202.jpg,"(0.55, 0.75)"
3411.jpg,"(0.50, 0.60)"
3621.jpg,"(0.50, 0.40)"
3673.jpg,"(0.50, 0.60)"
3932.jpg,"(0.65, 0.55)"
4401.jpg,"(0.50, 0.60)"
4795.jpg,"(0.50, 0.60)"
5024.jpg,"(0.50, 0.60)"
5656.jpg,"(0.50, 0.60)"
5795.jpg,"(0.35, 0.45)"
5946.jpg,"(0.50, 0.45)"
6132.jpg,"(0.52, 0.64)"
6378.jpg,"(0.50, 0.45)"
6567.jpg,"(0.65, 0.65)"
6700.jpg,"(0.50, 0.60)"
7679.jpg,"(0.65, 0.75)"
7776.jpg,"(0.52, 0.64)"
