frame,gaze
409.jpg,"(0.25, 0.45)"
669.jpg,"(0.52, 0.65)"
984.jpg,"(0.45, 0.55)"
1173.jpg,"(0.25, 0.45)"
1269.jpg,"(0.35, 0.45)"
1407.jpg,"(0.45, 0.65)"
6855.jpg,"(0.58, 0.62)"
7243.jpg,"(0.45, 0.65)"
9528.jpg,"(0.45, 0.65)"
9802.jpg,"(0.45, 0.60)"
11372.jpg,"(0.48, 0.60)"
11711.jpg,"(0.25, 0.75)"
11969.jpg,"(0.50, 0.50)"
12502.jpg,"(0.58, 0.61)"
13080.jpg,"(0.35, 0.85)"
13327.jpg,"(0.52, 0.65)"
13871.jpg,"(0.50, 0.45)"
14419.jpg,"(0.35, 0.45)"
14978.jpg,"(0.35, 0.48)"
15837.jpg,"(0.45, 0.55)"
16237.jpg,"(0.50, 0.45)"
17991.jpg,"(0.25, 0.40)"
18217.jpg,"(0.45, 0.60)"
18581.jpg,"(0.50, 0.60)"
18892.jpg,"(0.65, 0.72)"
23007.jpg,"(0.55, 0.60)"
23320.jpg,"(0.35, 0.65)"
23990.jpg,"(0.52, 0.60)"
24403.jpg,"(0.52, 0.60)"
