frame,gaze
4089.jpg,"(0.75, 0.80)"
7146.jpg,"(0.85, 0.72)"
9030.jpg,"(0.52, 0.74)"
9088.jpg,"(0.75, 0.65)"
14736.jpg,"(0.52, 0.60)"
17371.jpg,"(0.75, 0.65)"
17478.jpg,"(0.65, 0.78)"
18073.jpg,"(0.45, 0.65)"
18121.jpg,"(0.52, 0.64)"
18193.jpg,"(0.58, 0.64)"
18445.jpg,"(0.58, 0.74)"
18585.jpg,"(0.54, 0.69)"
18820.jpg,"(0.45, 0.80)"
18987.jpg,"(0.52, 0.56)"
19062.jpg,"(0.25, 0.65)"
19298.jpg,"(0.50, 0.60)"
19440.jpg,"(0.65, 0.65)"
19909.jpg,"(0.58, 0.62)"
19980.jpg,"(0.50, 0.60)"
20122.jpg,"(0.50, 0.60)"
24028.jpg,"(0.35, 0.65)"
24257.jpg,"(0.35, 0.65)"
24372.jpg,"(0.45, 0.50)"
24521.jpg,"(0.58, 0.52)"
24674.jpg,"(0.65, 0.65)"
25685.jpg,"(0.35, 0.65)"
25878.jpg,"(0.50, 0.50)"
26097.jpg,"(0.45, 0.45)"
26357.jpg,"(0.35, 0.65)"
26447.jpg,"(0.35, 0.65)"
26877.jpg,"(0.35, 0.68)"
28333.jpg,"(0.48, 0.72)"
28890.jpg,"(0.25, 0.75)"
29155.jpg,"(0.58, 0.54)"
29875.jpg,"(0.45, 0.90)"
29929.jpg,"(0.58, 0.64)"
30427.jpg,"(0.58, 0.76)"
30616.jpg,"(0.58, 0.65)"
30878.jpg,"(0.52, 0.63)"
31069.jpg,"(0.58, 0.67)"
31222.jpg,"(0.75, 0.65)"
31603.jpg,"(0.58, 0.64)"
31759.jpg,"(0.75, 0.65)"
32821.jpg,"(0.52, 0.76)"
32849.jpg,"(0.52, 0.40)"
35594.jpg,"(0.75, 0.85)"
35929.jpg,"(0.35, 0.65)"
36437.jpg,"(0.52, 0.78)"
36473.jpg,"(0.50, 0.45)"
36604.jpg,"(0.65, 0.75)"
36654.jpg,"(0.55, 0.35)"
36924.jpg,"(0.65, 0.70)"
37003.jpg,"(0.45, 0.55)"
37965.jpg,"(0.58, 0.72)"
38852.jpg,"(0.75, 0.65)"
38960.jpg,"(0.75, 0.70)"
39026.jpg,"(0.58, 0.67)"
39500.jpg,"(0.45, 0.63)"
39903.jpg,"(0.45, 0.65)"
42382.jpg,"(0.65, 0.60)"
42790.jpg,"(0.50, 0.55)"
43072.jpg,"(0.65, 0.70)"
43569.jpg,"(0.75, 0.65)"
43726.jpg,"(0.35, 0.75)"
44396.jpg,"(0.45, 0.55)"
44720.jpg,"(0.54, 0.63)"
45107.jpg,"(0.75, 0.75)"
45573.jpg,"(0.65, 0.65)"
45726.jpg,"(0.75, 0.80)"
45850.jpg,"(0.50, 0.65)"
46196.jpg,"(0.52, 0.78)"
46225.jpg,"(0.52, 0.38)"
47594.jpg,"(0.58, 0.82)"
47639.jpg,"(0.52, 0.68)"
53168.jpg,"(0.75, 0.85)"
53837.jpg,"(0.58, 0.76)"
54015.jpg,"(0.50, 0.60)"
54165.jpg,"(0.58, 0.72)"
54194.jpg,"(0.45, 0.35)"
54602.jpg,"(0.45, 0.75)"
55399.jpg,"(0.50, 0.60)"
55491.jpg,"(0.65, 0.75)"
55940.jpg,"(0.65, 0.75)"
56404.jpg,"(0.45, 0.68)"
56820.jpg,"(0.58, 0.64)"
57139.jpg,"(0.85, 0.78)"
57299.jpg,"(0.50, 0.48)"
58026.jpg,"(0.58, 0.76)"
58243.jpg,"(0.58, 0.67)"
58427.jpg,"(0.52, 0.63)"
62137.jpg,"(0.52, 0.76)"
