frame,gaze
335.jpg,"(0.65, 0.75)"
903.jpg,"(0.45, 0.50)"
2562.jpg,"(0.48, 0.56)"
3021.jpg,"(0.52, 0.58)"
3099.jpg,"(0.48, 0.65)"
3465.jpg,"(0.52, 0.64)"
3535.jpg,"(0.48, 0.65)"
4524.jpg,"(0.45, 0.65)"
4613.jpg,"(0.35, 0.65)"
4718.jpg,"(0.35, 0.65)"
4767.jpg,"(0.45, 0.65)"
5576.jpg,"(0.52, 0.68)"
6280.jpg,"(0.65, 0.72)"
6430.jpg,"(0.65, 0.80)"
6974.jpg,"(0.52, 0.63)"
7047.jpg,"(0.52, 0.64)"
7102.jpg,"(0.65, 0.68)"
9113.jpg,"(0.75, 0.68)"
9182.jpg,"(0.45, 0.85)"
9378.jpg,"(0.65, 0.70)"
9637.jpg,"(0.45, 0.65)"
9721.jpg,"(0.54, 0.78)"
9885.jpg,"(0.58, 0.79)"
9972.jpg,"(0.75, 0.65)"
10096.jpg,"(0.50, 0.75)"
10216.jpg,"(0.54, 0.82)"
10687.jpg,"(0.35, 0.65)"
10879.jpg,"(0.50, 0.70)"
10942.jpg,"(0.50, 0.45)"
11146.jpg,"(0.54, 0.63)"
11545.jpg,"(0.52, 0.60)"
13118.jpg,"(0.52, 0.81)"
13221.jpg,"(0.50, 0.70)"
13486.jpg,"(0.15, 0.48)"
13637.jpg,"(0.35, 0.45)"
13831.jpg,"(0.55, 0.65)"
13879.jpg,"(0.50, 0.75)"
14011.jpg,"(0.55, 0.65)"
14421.jpg,"(0.65, 0.70)"
14560.jpg,"(0.50, 0.60)"
14812.jpg,"(0.58, 0.62)"
14855.jpg,"(0.45, 0.60)"
15578.jpg,"(0.75, 0.45)"
16251.jpg,"(0.45, 0.65)"
16534.jpg,"(0.52, 0.64)"
17101.jpg,"(0.45, 0.60)"
17517.jpg,"(0.35, 0.70)"
17586.jpg,"(0.35, 0.72)"
17684.jpg,"(0.35, 0.72)"
18417.jpg,"(0.45, 0.55)"
18473.jpg,"(0.35, 0.60)"
18765.jpg,"(0.35, 0.65)"
18844.jpg,"(0.65, 0.75)"
18897.jpg,"(0.50, 0.45)"
19733.jpg,"(0.52, 0.48)"
20614.jpg,"(0.50, 0.60)"
20782.jpg,"(0.50, 0.60)"
21661.jpg,"(0.45, 0.65)"
21945.jpg,"(0.50, 0.60)"
22028.jpg,"(0.50, 0.60)"
22649.jpg,"(0.42, 0.65)"
22730.jpg,"(0.48, 0.72)"
23485.jpg,"(0.48, 0.60)"
23557.jpg,"(0.52, 0.68)"
24547.jpg,"(0.48, 0.65)"
24888.jpg,"(0.25, 0.45)"
25420.jpg,"(0.55, 0.65)"
25548.jpg,"(0.50, 0.50)"
25621.jpg,"(0.35, 0.65)"
25676.jpg,"(0.75, 0.80)"
26124.jpg,"(0.50, 0.65)"
26262.jpg,"(0.52, 0.60)"
26326.jpg,"(0.45, 0.60)"
26640.jpg,"(0.45, 0.72)"
27142.jpg,"(0.35, 0.75)"
27232.jpg,"(0.52, 0.60)"
27852.jpg,"(0.48, 0.56)"
28024.jpg,"(0.45, 0.60)"
28170.jpg,"(0.55, 0.60)"
28869.jpg,"(0.52, 0.64)"
29136.jpg,"(0.45, 0.60)"
29367.jpg,"(0.45, 0.60)"
29562.jpg,"(0.25, 0.55)"
29877.jpg,"(0.25, 0.45)"
30429.jpg,"(0.25, 0.55)"
30597.jpg,"(0.45, 0.60)"
31717.jpg,"(0.52, 0.65)"
31899.jpg,"(0.52, 0.64)"
32092.jpg,"(0.35, 0.75)"
32366.jpg,"(0.45, 0.65)"
32677.jpg,"(0.45, 0.80)"
33133.jpg,"(0.45, 0.75)"
33442.jpg,"(0.52, 0.68)"
33911.jpg,"(0.52, 0.68)"
34023.jpg,"(0.52, 0.74)"
34174.jpg,"(0.45, 0.80)"
34468.jpg,"(0.48, 0.65)"
34774.jpg,"(0.52, 0.68)"
34892.jpg,"(0.52, 0.74)"
35043.jpg,"(0.52, 0.68)"
35098.jpg,"(0.48, 0.67)"
35352.jpg,"(0.35, 0.45)"
35557.jpg,"(0.52, 0.65)"
35999.jpg,"(0.48, 0.65)"
36434.jpg,"(0.52, 0.71)"
37257.jpg,"(0.50, 0.45)"
