frame,gaze
572.jpg,"(0.58, 0.64)"
740.jpg,"(0.52, 0.68)"
1028.jpg,"(0.65, 0.65)"
1077.jpg,"(0.25, 0.70)"
1357.jpg,"(0.56, 0.72)"
1657.jpg,"(0.35, 0.65)"
1808.jpg,"(0.35, 0.65)"
2321.jpg,"(0.65, 0.60)"
2390.jpg,"(0.55, 0.60)"
2444.jpg,"(0.65, 0.60)"
2554.jpg,"(0.55, 0.60)"
2566.jpg,"(0.58, 0.62)"
2582.jpg,"(0.65, 0.60)"
2738.jpg,"(0.35, 0.70)"
2761.jpg,"(0.35, 0.65)"
2826.jpg,"(0.45, 0.70)"
2962.jpg,"(0.45, 0.65)"
3010.jpg,"(0.35, 0.68)"
3113.jpg,"(0.52, 0.74)"
3638.jpg,"(0.58, 0.62)"
4803.jpg,"(0.50, 0.60)"
4849.jpg,"(0.52, 0.61)"
5191.jpg,"(0.52, 0.76)"
5352.jpg,"(0.50, 0.65)"
5760.jpg,"(0.52, 0.74)"
