frame,gaze
864.jpg,"(0.50, 0.60)"
1676.jpg,"(0.25, 0.45)"
2093.jpg,"(0.52, 0.60)"
2240.jpg,"(0.58, 0.62)"
2489.jpg,"(0.65, 0.65)"
2673.jpg,"(0.45, 0.60)"
2940.jpg,"(0.52, 0.60)"
3233.jpg,"(0.65, 0.55)"
3992.jpg,"(0.65, 0.65)"
4085.jpg,"(0.50, 0.50)"
4281.jpg,"(0.50, 0.45)"
4316.jpg,"(0.15, 0.50)"
4817.jpg,"(0.65, 0.55)"
5004.jpg,"(0.50, 0.60)"
5505.jpg,"(0.50, 0.60)"
5760.jpg,"(0.50, 0.60)"
6095.jpg,"(0.50, 0.60)"
6555.jpg,"(0.65, 0.70)"
6927.jpg,"(0.65, 0.65)"
7448.jpg,"(0.65, 0.70)"
7484.jpg,"(0.65, 0.75)"
7935.jpg,"(0.55, 0.60)"
8075.jpg,"(0.58, 0.62)"
8533.jpg,"(0.25, 0.65)"
8862.jpg,"(0.75, 0.65)"
9001.jpg,"(0.45, 0.60)"
