frame,gaze
2625.jpg,"(0.48, 0.42)"
2890.jpg,"(0.35, 0.45)"
3420.jpg,"(0.58, 0.86)"
3582.jpg,"(0.65, 0.72)"
3649.jpg,"(0.45, 0.75)"
4568.jpg,"(0.45, 0.65)"
4651.jpg,"(0.35, 0.80)"
4703.jpg,"(0.50, 0.75)"
5140.jpg,"(0.52, 0.70)"
5269.jpg,"(0.45, 0.55)"
5362.jpg,"(0.52, 0.76)"
5394.jpg,"(0.45, 0.63)"
5538.jpg,"(0.52, 0.74)"
5614.jpg,"(0.45, 0.60)"
5713.jpg,"(0.52, 0.74)"
5867.jpg,"(0.35, 0.75)"
6255.jpg,"(0.65, 0.75)"
6403.jpg,"(0.35, 0.80)"
6989.jpg,"(0.45, 0.70)"
7209.jpg,"(0.52, 0.78)"
7358.jpg,"(0.52, 0.76)"
7401.jpg,"(0.58, 0.76)"
7499.jpg,"(0.52, 0.70)"
7539.jpg,"(0.52, 0.76)"
7722.jpg,"(0.52, 0.76)"
7768.jpg,"(0.48, 0.65)"
7834.jpg,"(0.52, 0.76)"
7877.jpg,"(0.45, 0.65)"
8018.jpg,"(0.25, 0.75)"
8075.jpg,"(0.50, 0.70)"
8117.jpg,"(0.45, 0.75)"
8261.jpg,"(0.58, 0.69)"
8315.jpg,"(0.58, 0.49)"
8341.jpg,"(0.45, 0.75)"
8610.jpg,"(0.52, 0.71)"
8700.jpg,"(0.52, 0.30)"
8749.jpg,"(0.50, 0.60)"
8803.jpg,"(0.58, 0.69)"
9057.jpg,"(0.52, 0.64)"
9251.jpg,"(0.65, 0.75)"
9329.jpg,"(0.45, 0.75)"
9447.jpg,"(0.35, 0.80)"
9643.jpg,"(0.52, 0.74)"
9799.jpg,"(0.50, 0.75)"
9870.jpg,"(0.35, 0.75)"
