frame,gaze
187.jpg,"(0.45, 0.65)"
567.jpg,"(0.50, 0.60)"
883.jpg,"(0.50, 0.50)"
1408.jpg,"(0.45, 0.70)"
1559.jpg,"(0.50, 0.60)"
2597.jpg,"(0.65, 0.70)"
3284.jpg,"(0.75, 0.60)"
3767.jpg,"(0.65, 0.65)"
4487.jpg,"(0.58, 0.62)"
4709.jpg,"(0.52, 0.64)"
6296.jpg,"(0.52, 0.68)"
6341.jpg,"(0.54, 0.72)"
6384.jpg,"(0.65, 0.55)"
6460.jpg,"(0.35, 0.75)"
6639.jpg,"(0.52, 0.81)"
6689.jpg,"(0.45, 0.75)"
6802.jpg,"(0.45, 0.75)"
6856.jpg,"(0.52, 0.63)"
7066.jpg,"(0.65, 0.70)"
7448.jpg,"(0.35, 0.75)"
7521.jpg,"(0.45, 0.65)"
8286.jpg,"(0.45, 0.60)"
8374.jpg,"(0.35, 0.78)"
8582.jpg,"(0.52, 0.64)"
8709.jpg,"(0.45, 0.85)"
