frame,gaze
2870.jpg,"(0.50, 0.60)"
3274.jpg,"(0.35, 0.65)"
3833.jpg,"(0.50, 0.50)"
3922.jpg,"(0.55, 0.60)"
3991.jpg,"(0.35, 0.65)"
4224.jpg,"(0.52, 0.60)"
4852.jpg,"(0.50, 0.45)"
4904.jpg,"(0.35, 0.70)"
4952.jpg,"(0.45, 0.65)"
5025.jpg,"(0.50, 0.60)"
6191.jpg,"(0.35, 0.65)"
6463.jpg,"(0.25, 0.65)"
6688.jpg,"(0.52, 0.60)"
6954.jpg,"(0.35, 0.65)"
7107.jpg,"(0.35, 0.75)"
7969.jpg,"(0.65, 0.70)"
8094.jpg,"(0.45, 0.65)"
8839.jpg,"(0.65, 0.70)"
9725.jpg,"(0.54, 0.67)"
10259.jpg,"(0.54, 0.62)"
11886.jpg,"(0.50, 0.60)"
12385.jpg,"(0.52, 0.64)"
12465.jpg,"(0.35, 0.65)"
12672.jpg,"(0.45, 0.60)"
14176.jpg,"(0.35, 0.65)"
14558.jpg,"(0.45, 0.50)"
14684.jpg,"(0.50, 0.50)"
15381.jpg,"(0.52, 0.64)"
16058.jpg,"(0.45, 0.55)"
18067.jpg,"(0.45, 0.55)"
19136.jpg,"(0.55, 0.75)"
20847.jpg,"(0.25, 0.65)"
21693.jpg,"(0.30, 0.75)"
21879.jpg,"(0.75, 0.75)"
21972.jpg,"(0.52, 0.45)"
22143.jpg,"(0.35, 0.45)"
22977.jpg,"(0.45, 0.80)"
23403.jpg,"(0.52, 0.60)"
23551.jpg,"(0.52, 0.60)"
23652.jpg,"(0.45, 0.65)"
23942.jpg,"(0.58, 0.74)"
24058.jpg,"(0.35, 0.65)"
24728.jpg,"(0.52, 0.64)"
25254.jpg,"(0.45, 0.65)"
25403.jpg,"(0.65, 0.58)"
25509.jpg,"(0.42, 0.58)"
25653.jpg,"(0.85, 0.65)"
25886.jpg,"(0.45, 0.55)"
27129.jpg,"(0.58, 0.52)"
27358.jpg,"(0.52, 0.63)"
27502.jpg,"(0.65, 0.58)"
27740.jpg,"(0.42, 0.58)"
