frame,gaze
583.jpg,"(0.52, 0.60)"
819.jpg,"(0.52, 0.48)"
1002.jpg,"(0.50, 0.60)"
1441.jpg,"(0.45, 0.60)"
4179.jpg,"(0.45, 0.45)"
4576.jpg,"(0.50, 0.50)"
4620.jpg,"(0.50, 0.70)"
4933.jpg,"(0.50, 0.75)"
5026.jpg,"(0.52, 0.63)"
5170.jpg,"(0.65, 0.60)"
5335.jpg,"(0.45, 0.65)"
5486.jpg,"(0.50, 0.60)"
6060.jpg,"(0.50, 0.65)"
6511.jpg,"(0.35, 0.55)"
6790.jpg,"(0.45, 0.65)"
7673.jpg,"(0.25, 0.60)"
7929.jpg,"(0.35, 0.60)"
8261.jpg,"(0.25, 0.45)"
8526.jpg,"(0.65, 0.65)"
8686.jpg,"(0.45, 0.60)"
8805.jpg,"(0.50, 0.50)"
