frame,gaze
864.jpg,"(0.58, 0.60)"
1127.jpg,"(0.58, 0.60)"
1189.jpg,"(0.50, 0.60)"
1281.jpg,"(0.56, 0.54)"
1387.jpg,"(0.52, 0.60)"
1583.jpg,"(0.50, 0.60)"
1846.jpg,"(0.50, 0.60)"
1929.jpg,"(0.50, 0.70)"
2136.jpg,"(0.50, 0.60)"
2150.jpg,"(0.50, 0.80)"
2454.jpg,"(0.50, 0.70)"
2527.jpg,"(0.58, 0.56)"
2547.jpg,"(0.52, 0.56)"
2615.jpg,"(0.52, 0.60)"
2759.jpg,"(0.45, 0.55)"
3836.jpg,"(0.50, 0.60)"
3926.jpg,"(0.50, 0.55)"
4057.jpg,"(0.50, 0.60)"
4155.jpg,"(0.50, 0.60)"
4234.jpg,"(0.50, 0.60)"
4481.jpg,"(0.50, 0.60)"
4800.jpg,"(0.58, 0.54)"
4879.jpg,"(0.58, 0.60)"
5129.jpg,"(0.45, 0.65)"
5360.jpg,"(0.50, 0.60)"
5655.jpg,"(0.50, 0.50)"
5769.jpg,"(0.50, 0.60)"
6112.jpg,"(0.52, 0.54)"
6338.jpg,"(0.65, 0.70)"
6431.jpg,"(0.58, 0.62)"
