frame,gaze
43.jpg,"(0.45, 0.70)"
175.jpg,"(0.50, 0.45)"
297.jpg,"(0.52, 0.70)"
394.jpg,"(0.58, 0.42)"
415.jpg,"(0.68, 0.59)"
439.jpg,"(0.60, 0.58)"
717.jpg,"(0.45, 0.48)"
1749.jpg,"(0.35, 0.60)"
1839.jpg,"(0.35, 0.85)"
1975.jpg,"(0.52, 0.69)"
2047.jpg,"(0.50, 0.45)"
3853.jpg,"(0.35, 0.65)"
4346.jpg,"(0.52, 0.76)"
4416.jpg,"(0.50, 0.60)"
4619.jpg,"(0.45, 0.70)"
4790.jpg,"(0.52, 0.76)"
4863.jpg,"(0.65, 0.78)"
5134.jpg,"(0.35, 0.60)"
6037.jpg,"(0.35, 0.75)"
6275.jpg,"(0.65, 0.75)"
6564.jpg,"(0.45, 0.75)"
8489.jpg,"(0.45, 0.75)"
8669.jpg,"(0.50, 0.60)"
10209.jpg,"(0.45, 0.75)"
10329.jpg,"(0.25, 0.65)"
10446.jpg,"(0.25, 0.65)"
11517.jpg,"(0.52, 0.68)"
11655.jpg,"(0.45, 0.60)"
11861.jpg,"(0.45, 0.60)"
12390.jpg,"(0.45, 0.70)"
12877.jpg,"(0.35, 0.65)"
12933.jpg,"(0.50, 0.50)"
13166.jpg,"(0.65, 0.72)"
13407.jpg,"(0.45, 0.72)"
13711.jpg,"(0.50, 0.50)"
13763.jpg,"(0.50, 0.60)"
13839.jpg,"(0.55, 0.70)"
15169.jpg,"(0.45, 0.65)"
15381.jpg,"(0.45, 0.65)"
15787.jpg,"(0.65, 0.70)"
16124.jpg,"(0.45, 0.65)"
16938.jpg,"(0.65, 0.70)"
16992.jpg,"(0.52, 0.68)"
17198.jpg,"(0.45, 0.65)"
17374.jpg,"(0.45, 0.75)"
17899.jpg,"(0.52, 0.64)"
17980.jpg,"(0.45, 0.65)"
18169.jpg,"(0.45, 0.65)"
18246.jpg,"(0.35, 0.55)"
19060.jpg,"(0.58, 0.72)"
19318.jpg,"(0.55, 0.65)"
19518.jpg,"(0.52, 0.76)"
20132.jpg,"(0.35, 0.65)"
20596.jpg,"(0.25, 0.80)"
20765.jpg,"(0.45, 0.65)"
20953.jpg,"(0.45, 0.65)"
