frame,gaze
144.jpg,"(0.35, 0.78)"
660.jpg,"(0.45, 0.65)"
702.jpg,"(0.50, 0.60)"
768.jpg,"(0.48, 0.75)"
1129.jpg,"(0.55, 0.65)"
1195.jpg,"(0.45, 0.55)"
1228.jpg,"(0.50, 0.65)"
1627.jpg,"(0.65, 0.55)"
1717.jpg,"(0.54, 0.58)"
1756.jpg,"(0.50, 0.70)"
1941.jpg,"(0.65, 0.60)"
2087.jpg,"(0.50, 0.50)"
2451.jpg,"(0.65, 0.70)"
2526.jpg,"(0.50, 0.70)"
3020.jpg,"(0.65, 0.55)"
3224.jpg,"(0.35, 0.50)"
3461.jpg,"(0.45, 0.65)"
3666.jpg,"(0.58, 0.64)"
4166.jpg,"(0.58, 0.64)"
4271.jpg,"(0.55, 0.75)"
6298.jpg,"(0.45, 0.60)"
6578.jpg,"(0.65, 0.75)"
7072.jpg,"(0.50, 0.60)"
7212.jpg,"(0.52, 0.63)"
7394.jpg,"(0.50, 0.65)"
7697.jpg,"(0.55, 0.65)"
7832.jpg,"(0.52, 0.64)"
8066.jpg,"(0.50, 0.65)"
8219.jpg,"(0.45, 0.75)"
8310.jpg,"(0.50, 0.50)"
