frame,gaze
566.jpg,"(0.58, 0.47)"
917.jpg,"(0.35, 0.55)"
1190.jpg,"(0.45, 0.65)"
1207.jpg,"(0.45, 0.65)"
2834.jpg,"(0.65, 0.70)"
2944.jpg,"(0.45, 0.60)"
3884.jpg,"(0.52, 0.68)"
4252.jpg,"(0.45, 0.60)"
4726.jpg,"(0.48, 0.75)"
4800.jpg,"(0.25, 0.75)"
5050.jpg,"(0.52, 0.64)"
5273.jpg,"(0.50, 0.60)"
5752.jpg,"(0.35, 0.60)"
5809.jpg,"(0.45, 0.65)"
6256.jpg,"(0.52, 0.60)"
6501.jpg,"(0.42, 0.50)"
7239.jpg,"(0.52, 0.65)"
7610.jpg,"(0.50, 0.60)"
7758.jpg,"(0.52, 0.68)"
7933.jpg,"(0.45, 0.65)"
8330.jpg,"(0.50, 0.60)"
8493.jpg,"(0.65, 0.55)"
8669.jpg,"(0.52, 0.65)"
9067.jpg,"(0.35, 0.80)"
9702.jpg,"(0.35, 0.60)"
9929.jpg,"(0.45, 0.60)"
10097.jpg,"(0.35, 0.55)"
10303.jpg,"(0.35, 0.60)"
10451.jpg,"(0.50, 0.50)"
10625.jpg,"(0.45, 0.60)"
10743.jpg,"(0.45, 0.55)"
10987.jpg,"(0.25, 0.65)"
11100.jpg,"(0.35, 0.65)"
11260.jpg,"(0.35, 0.60)"
11290.jpg,"(0.52, 0.68)"
11317.jpg,"(0.45, 0.55)"
11568.jpg,"(0.45, 0.55)"
11704.jpg,"(0.45, 0.60)"
12055.jpg,"(0.25, 0.65)"
12119.jpg,"(0.65, 0.52)"
12303.jpg,"(0.58, 0.59)"
12334.jpg,"(0.45, 0.60)"
12643.jpg,"(0.52, 0.78)"
12770.jpg,"(0.45, 0.60)"
13103.jpg,"(0.52, 0.68)"
