frame,gaze
1179.jpg,"(0.25, 0.70)"
1891.jpg,"(0.50, 0.60)"
2132.jpg,"(0.45, 0.65)"
2440.jpg,"(0.52, 0.61)"
2490.jpg,"(0.25, 0.75)"
2739.jpg,"(0.50, 0.60)"
2909.jpg,"(0.50, 0.60)"
3181.jpg,"(0.50, 0.50)"
3210.jpg,"(0.65, 0.75)"
3284.jpg,"(0.85, 0.79)"
3530.jpg,"(0.50, 0.85)"
3580.jpg,"(0.50, 0.75)"
3760.jpg,"(0.35, 0.70)"
4007.jpg,"(0.45, 0.75)"
4708.jpg,"(0.50, 0.80)"
4733.jpg,"(0.50, 0.60)"
5168.jpg,"(0.45, 0.70)"
5331.jpg,"(0.45, 0.65)"
5445.jpg,"(0.50, 0.60)"
5475.jpg,"(0.45, 0.65)"
5826.jpg,"(0.60, 0.60)"
6219.jpg,"(0.25, 0.70)"
6307.jpg,"(0.35, 0.85)"
6649.jpg,"(0.50, 0.65)"
6707.jpg,"(0.50, 0.60)"
6873.jpg,"(0.50, 0.60)"
