frame,gaze
199.jpg,"(0.45, 0.60)"
600.jpg,"(0.54, 0.62)"
1359.jpg,"(0.45, 0.55)"
1539.jpg,"(0.52, 0.63)"
1827.jpg,"(0.58, 0.67)"
1876.jpg,"(0.52, 0.60)"
2117.jpg,"(0.65, 0.60)"
2299.jpg,"(0.65, 0.60)"
2476.jpg,"(0.52, 0.64)"
2600.jpg,"(0.58, 0.63)"
2715.jpg,"(0.54, 0.62)"
2778.jpg,"(0.56, 0.58)"
2867.jpg,"(0.52, 0.65)"
3195.jpg,"(0.45, 0.68)"
3528.jpg,"(0.45, 0.65)"
4050.jpg,"(0.58, 0.62)"
4221.jpg,"(0.50, 0.65)"
4416.jpg,"(0.50, 0.65)"
4444.jpg,"(0.35, 0.75)"
4678.jpg,"(0.50, 0.60)"
4778.jpg,"(0.65, 0.60)"
5332.jpg,"(0.50, 0.55)"
5366.jpg,"(0.52, 0.60)"
5732.jpg,"(0.52, 0.63)"
6069.jpg,"(0.45, 0.65)"
6195.jpg,"(0.35, 0.65)"
6357.jpg,"(0.56, 0.62)"
6510.jpg,"(0.52, 0.63)"
6573.jpg,"(0.62, 0.58)"
7031.jpg,"(0.50, 0.45)"
