frame,gaze
224.jpg,"(0.58, 0.74)"
466.jpg,"(0.15, 0.75)"
789.jpg,"(0.52, 0.78)"
1178.jpg,"(0.60, 0.65)"
1705.jpg,"(0.35, 0.45)"
2683.jpg,"(0.65, 0.65)"
2779.jpg,"(0.58, 0.64)"
4902.jpg,"(0.50, 0.45)"
5082.jpg,"(0.45, 0.55)"
5310.jpg,"(0.55, 0.60)"
5348.jpg,"(0.50, 0.60)"
5466.jpg,"(0.50, 0.50)"
5947.jpg,"(0.45, 0.50)"
6265.jpg,"(0.35, 0.45)"
6489.jpg,"(0.56, 0.64)"
6607.jpg,"(0.50, 0.50)"
7176.jpg,"(0.35, 0.75)"
7334.jpg,"(0.75, 0.65)"
7472.jpg,"(0.45, 0.65)"
7523.jpg,"(0.45, 0.65)"
7643.jpg,"(0.75, 0.60)"
7745.jpg,"(0.58, 0.69)"
8112.jpg,"(0.58, 0.64)"
8284.jpg,"(0.58, 0.72)"
8476.jpg,"(0.45, 0.55)"
8611.jpg,"(0.65, 0.60)"
9157.jpg,"(0.58, 0.64)"
9397.jpg,"(0.35, 0.60)"
9451.jpg,"(0.35, 0.60)"
9591.jpg,"(0.50, 0.60)"
9682.jpg,"(0.50, 0.60)"
9793.jpg,"(0.45, 0.60)"
9972.jpg,"(0.45, 0.65)"
10161.jpg,"(0.65, 0.65)"
10303.jpg,"(0.55, 0.60)"
10494.jpg,"(0.52, 0.64)"
10672.jpg,"(0.65, 0.65)"
11105.jpg,"(0.54, 0.67)"
11264.jpg,"(0.58, 0.72)"
11391.jpg,"(0.35, 0.65)"
12245.jpg,"(0.45, 0.60)"
13579.jpg,"(0.65, 0.55)"
13647.jpg,"(0.35, 0.60)"
13683.jpg,"(0.45, 0.65)"
13757.jpg,"(0.50, 0.60)"
13848.jpg,"(0.50, 0.50)"
14034.jpg,"(0.45, 0.60)"
14144.jpg,"(0.54, 0.58)"
14284.jpg,"(0.50, 0.65)"
14386.jpg,"(0.35, 0.65)"
14515.jpg,"(0.75, 0.70)"
14589.jpg,"(0.52, 0.68)"
15487.jpg,"(0.75, 0.65)"
15640.jpg,"(0.65, 0.65)"
16529.jpg,"(0.45, 0.55)"
16566.jpg,"(0.65, 0.65)"
16685.jpg,"(0.45, 0.65)"
17078.jpg,"(0.45, 0.55)"
17192.jpg,"(0.50, 0.50)"
17848.jpg,"(0.55, 0.65)"
17937.jpg,"(0.35, 0.65)"
18048.jpg,"(0.35, 0.65)"
18088.jpg,"(0.65, 0.75)"
18362.jpg,"(0.65, 0.60)"
18439.jpg,"(0.50, 0.60)"
18512.jpg,"(0.35, 0.65)"
18745.jpg,"(0.52, 0.64)"
19396.jpg,"(0.65, 0.65)"
19467.jpg,"(0.45, 0.60)"
19613.jpg,"(0.58, 0.65)"
20173.jpg,"(0.50, 0.60)"
20290.jpg,"(0.65, 0.65)"
20949.jpg,"(0.58, 0.74)"
21153.jpg,"(0.65, 0.70)"
21188.jpg,"(0.50, 0.60)"
21384.jpg,"(0.75, 0.65)"
21426.jpg,"(0.45, 0.75)"
21520.jpg,"(0.50, 0.60)"
22331.jpg,"(0.58, 0.74)"
22483.jpg,"(0.45, 0.60)"
22660.jpg,"(0.58, 0.54)"
23751.jpg,"(0.58, 0.64)"
24110.jpg,"(0.52, 0.68)"
24422.jpg,"(0.50, 0.60)"
25039.jpg,"(0.52, 0.76)"
25141.jpg,"(0.50, 0.60)"
25679.jpg,"(0.75, 0.65)"
25855.jpg,"(0.45, 0.50)"
25897.jpg,"(0.52, 0.48)"
26389.jpg,"(0.75, 0.65)"
26444.jpg,"(0.58, 0.49)"
26496.jpg,"(0.50, 0.50)"
26552.jpg,"(0.65, 0.65)"
26639.jpg,"(0.35, 0.65)"
26722.jpg,"(0.65, 0.70)"
27307.jpg,"(0.25, 0.60)"
27669.jpg,"(0.52, 0.64)"
27867.jpg,"(0.65, 0.65)"
28353.jpg,"(0.50, 0.50)"
28676.jpg,"(0.65, 0.70)"
29522.jpg,"(0.58, 0.64)"
29722.jpg,"(0.55, 0.25)"
