frame,gaze
171.jpg,"(0.45, 0.75)"
352.jpg,"(0.52, 0.76)"
378.jpg,"(0.52, 0.74)"
626.jpg,"(0.50, 0.65)"
717.jpg,"(0.52, 0.74)"
867.jpg,"(0.65, 0.72)"
944.jpg,"(0.52, 0.69)"
1163.jpg,"(0.54, 0.72)"
1388.jpg,"(0.65, 0.72)"
1420.jpg,"(0.52, 0.68)"
2281.jpg,"(0.54, 0.72)"
2375.jpg,"(0.52, 0.84)"
2539.jpg,"(0.52, 0.81)"
2694.jpg,"(0.42, 0.58)"
2726.jpg,"(0.58, 0.69)"
2844.jpg,"(0.54, 0.68)"
2874.jpg,"(0.75, 0.65)"
3037.jpg,"(0.52, 0.78)"
3097.jpg,"(0.80, 0.70)"
3135.jpg,"(0.42, 0.73)"
3328.jpg,"(0.54, 0.71)"
3462.jpg,"(0.58, 0.72)"
3624.jpg,"(0.45, 0.65)"
3717.jpg,"(0.45, 0.65)"
4145.jpg,"(0.65, 0.70)"
4589.jpg,"(0.50, 0.50)"
