frame,gaze
197.jpg,"(0.45, 0.65)"
778.jpg,"(0.45, 0.55)"
916.jpg,"(0.45, 0.65)"
1072.jpg,"(0.50, 0.60)"
1183.jpg,"(0.58, 0.65)"
1280.jpg,"(0.52, 0.65)"
1342.jpg,"(0.52, 0.65)"
1485.jpg,"(0.50, 0.60)"
1660.jpg,"(0.45, 0.50)"
1783.jpg,"(0.45, 0.50)"
1959.jpg,"(0.45, 0.50)"
2196.jpg,"(0.50, 0.45)"
2379.jpg,"(0.50, 0.60)"
2540.jpg,"(0.55, 0.45)"
2605.jpg,"(0.65, 0.45)"
2636.jpg,"(0.50, 0.60)"
3427.jpg,"(0.25, 0.45)"
3572.jpg,"(0.35, 0.45)"
3632.jpg,"(0.35, 0.45)"
4097.jpg,"(0.35, 0.45)"
4226.jpg,"(0.25, 0.60)"
