frame,gaze
197.jpg,"(0.50, 0.45)"
387.jpg,"(0.58, 0.63)"
727.jpg,"(0.58, 0.64)"
790.jpg,"(0.35, 0.65)"
1267.jpg,"(0.45, 0.60)"
1565.jpg,"(0.52, 0.64)"
2097.jpg,"(0.45, 0.55)"
2235.jpg,"(0.45, 0.62)"
2693.jpg,"(0.52, 0.60)"
2773.jpg,"(0.52, 0.61)"
2908.jpg,"(0.45, 0.55)"
2960.jpg,"(0.52, 0.60)"
3045.jpg,"(0.45, 0.55)"
3077.jpg,"(0.45, 0.55)"
3165.jpg,"(0.45, 0.57)"
3221.jpg,"(0.45, 0.60)"
3315.jpg,"(0.45, 0.60)"
3338.jpg,"(0.45, 0.55)"
3421.jpg,"(0.45, 0.60)"
3487.jpg,"(0.45, 0.65)"
3702.jpg,"(0.52, 0.68)"
4041.jpg,"(0.52, 0.64)"
4426.jpg,"(0.15, 0.78)"
4549.jpg,"(0.55, 0.65)"
4874.jpg,"(0.45, 0.65)"
4960.jpg,"(0.55, 0.62)"
5268.jpg,"(0.35, 0.65)"
5925.jpg,"(0.50, 0.65)"
