frame,gaze
240.jpg,"(0.50, 0.50)"
442.jpg,"(0.35, 0.75)"
570.jpg,"(0.50, 0.60)"
913.jpg,"(0.35, 0.65)"
1076.jpg,"(0.45, 0.75)"
1201.jpg,"(0.35, 0.70)"
1305.jpg,"(0.35, 0.65)"
1625.jpg,"(0.48, 0.65)"
1746.jpg,"(0.50, 0.60)"
2812.jpg,"(0.58, 0.72)"
3060.jpg,"(0.45, 0.65)"
3156.jpg,"(0.35, 0.65)"
3426.jpg,"(0.35, 0.70)"
3632.jpg,"(0.35, 0.45)"
4049.jpg,"(0.50, 0.70)"
4171.jpg,"(0.48, 0.46)"
4514.jpg,"(0.55, 0.68)"
4591.jpg,"(0.50, 0.60)"
5038.jpg,"(0.58, 0.69)"
5207.jpg,"(0.52, 0.71)"
5480.jpg,"(0.60, 0.70)"
6001.jpg,"(0.48, 0.67)"
6132.jpg,"(0.25, 0.60)"
6675.jpg,"(0.50, 0.65)"
6870.jpg,"(0.25, 0.75)"
6945.jpg,"(0.58, 0.72)"
7282.jpg,"(0.35, 0.65)"
7494.jpg,"(0.58, 0.72)"
7879.jpg,"(0.52, 0.65)"
7982.jpg,"(0.35, 0.65)"
8345.jpg,"(0.52, 0.74)"
8517.jpg,"(0.50, 0.65)"
8911.jpg,"(0.25, 0.75)"
9101.jpg,"(0.45, 0.60)"
9239.jpg,"(0.50, 0.60)"
9576.jpg,"(0.52, 0.64)"
9710.jpg,"(0.35, 0.60)"
10000.jpg,"(0.35, 0.65)"
10168.jpg,"(0.65, 0.52)"
10312.jpg,"(0.50, 0.45)"
10451.jpg,"(0.58, 0.64)"
10702.jpg,"(0.58, 0.72)"
10732.jpg,"(0.58, 0.76)"
10786.jpg,"(0.45, 0.65)"
10824.jpg,"(0.72, 0.80)"
10931.jpg,"(0.25, 0.45)"
11930.jpg,"(0.25, 0.75)"
12658.jpg,"(0.35, 0.45)"
13498.jpg,"(0.58, 0.64)"
13648.jpg,"(0.75, 0.68)"
13740.jpg,"(0.52, 0.68)"
13861.jpg,"(0.52, 0.68)"
14150.jpg,"(0.65, 0.65)"
14338.jpg,"(0.52, 0.65)"
14476.jpg,"(0.58, 0.64)"
16259.jpg,"(0.52, 0.68)"
16325.jpg,"(0.45, 0.70)"
16616.jpg,"(0.58, 0.69)"
16797.jpg,"(0.45, 0.65)"
16885.jpg,"(0.25, 0.65)"
17311.jpg,"(0.45, 0.65)"
17702.jpg,"(0.45, 0.65)"
17936.jpg,"(0.35, 0.48)"
18190.jpg,"(0.48, 0.69)"
18281.jpg,"(0.65, 0.70)"
18386.jpg,"(0.52, 0.68)"
18573.jpg,"(0.45, 0.65)"
18645.jpg,"(0.50, 0.80)"
19478.jpg,"(0.58, 0.64)"
19779.jpg,"(0.55, 0.65)"
19885.jpg,"(0.65, 0.75)"
20012.jpg,"(0.58, 0.72)"
20113.jpg,"(0.50, 0.60)"
