frame,gaze
953.jpg,"(0.50, 0.60)"
1277.jpg,"(0.65, 0.65)"
1632.jpg,"(0.35, 0.80)"
2251.jpg,"(0.35, 0.45)"
2478.jpg,"(0.45, 0.65)"
3552.jpg,"(0.35, 0.65)"
3948.jpg,"(0.50, 0.75)"
4370.jpg,"(0.45, 0.72)"
4728.jpg,"(0.58, 0.76)"
5003.jpg,"(0.65, 0.85)"
6285.jpg,"(0.45, 0.87)"
7914.jpg,"(0.45, 0.80)"
8321.jpg,"(0.35, 0.45)"
8805.jpg,"(0.65, 0.90)"
9540.jpg,"(0.58, 0.82)"
9595.jpg,"(0.60, 0.80)"
10411.jpg,"(0.52, 0.84)"
10428.jpg,"(0.52, 0.78)"
10731.jpg,"(0.68, 0.72)"
10788.jpg,"(0.54, 0.86)"
10880.jpg,"(0.58, 0.74)"
10923.jpg,"(0.65, 0.65)"
11069.jpg,"(0.56, 0.82)"
11158.jpg,"(0.54, 0.82)"
11232.jpg,"(0.52, 0.83)"
11466.jpg,"(0.58, 0.72)"
11509.jpg,"(0.52, 0.70)"
11724.jpg,"(0.52, 0.84)"
11762.jpg,"(0.52, 0.86)"
12372.jpg,"(0.45, 0.83)"
12403.jpg,"(0.45, 0.75)"
12584.jpg,"(0.50, 0.75)"
12600.jpg,"(0.52, 0.76)"
13559.jpg,"(0.54, 0.83)"
14392.jpg,"(0.52, 0.80)"
