frame,gaze
489.jpg,"(0.35, 0.75)"
853.jpg,"(0.75, 0.78)"
1032.jpg,"(0.35, 0.45)"
1296.jpg,"(0.50, 0.50)"
1802.jpg,"(0.45, 0.65)"
2085.jpg,"(0.65, 0.78)"
2719.jpg,"(0.52, 0.71)"
2936.jpg,"(0.45, 0.68)"
3099.jpg,"(0.58, 0.76)"
3323.jpg,"(0.65, 0.65)"
3509.jpg,"(0.58, 0.76)"
3978.jpg,"(0.48, 0.65)"
4161.jpg,"(0.62, 0.64)"
4591.jpg,"(0.58, 0.72)"
4865.jpg,"(0.65, 0.75)"
5421.jpg,"(0.45, 0.65)"
5601.jpg,"(0.52, 0.68)"
6874.jpg,"(0.45, 0.65)"
7153.jpg,"(0.58, 0.64)"
7592.jpg,"(0.75, 0.65)"
7965.jpg,"(0.45, 0.63)"
8585.jpg,"(0.65, 0.85)"
9196.jpg,"(0.52, 0.68)"
9295.jpg,"(0.52, 0.71)"
9431.jpg,"(0.35, 0.68)"
9776.jpg,"(0.55, 0.65)"
9845.jpg,"(0.45, 0.60)"
9947.jpg,"(0.75, 0.60)"
9999.jpg,"(0.85, 0.60)"
10073.jpg,"(0.75, 0.65)"
10351.jpg,"(0.75, 0.65)"
10559.jpg,"(0.15, 0.75)"
12747.jpg,"(0.45, 0.78)"
13031.jpg,"(0.65, 0.72)"
13220.jpg,"(0.85, 0.67)"
13569.jpg,"(0.50, 0.60)"
13707.jpg,"(0.50, 0.60)"
13961.jpg,"(0.48, 0.79)"
14484.jpg,"(0.65, 0.70)"
15182.jpg,"(0.45, 0.60)"
15318.jpg,"(0.58, 0.62)"
15793.jpg,"(0.45, 0.65)"
15967.jpg,"(0.48, 0.62)"
16094.jpg,"(0.45, 0.60)"
16415.jpg,"(0.75, 0.80)"
17103.jpg,"(0.45, 0.65)"
17346.jpg,"(0.65, 0.65)"
17984.jpg,"(0.52, 0.64)"
18079.jpg,"(0.48, 0.65)"
18640.jpg,"(0.52, 0.68)"
19140.jpg,"(0.45, 0.45)"
