frame,gaze
373.jpg,"(0.50, 0.60)"
618.jpg,"(0.52, 0.68)"
718.jpg,"(0.48, 0.75)"
1084.jpg,"(0.48, 0.72)"
2000.jpg,"(0.45, 0.75)"
2279.jpg,"(0.58, 0.61)"
2399.jpg,"(0.45, 0.68)"
2792.jpg,"(0.45, 0.65)"
3177.jpg,"(0.50, 0.60)"
3493.jpg,"(0.52, 0.74)"
4494.jpg,"(0.65, 0.30)"
4863.jpg,"(0.45, 0.78)"
6319.jpg,"(0.45, 0.72)"
8270.jpg,"(0.52, 0.74)"
9028.jpg,"(0.52, 0.64)"
9409.jpg,"(0.50, 0.60)"
9609.jpg,"(0.50, 0.50)"
10054.jpg,"(0.48, 0.72)"
10291.jpg,"(0.52, 0.76)"
10835.jpg,"(0.65, 0.70)"
11099.jpg,"(0.35, 0.65)"
13514.jpg,"(0.35, 0.65)"
13630.jpg,"(0.65, 0.85)"
13888.jpg,"(0.65, 0.70)"
14136.jpg,"(0.50, 0.50)"
16594.jpg,"(0.45, 0.72)"
17350.jpg,"(0.50, 0.45)"
17601.jpg,"(0.52, 0.74)"
17743.jpg,"(0.52, 0.58)"
20672.jpg,"(0.52, 0.64)"
21361.jpg,"(0.48, 0.75)"
21540.jpg,"(0.50, 0.50)"
24102.jpg,"(0.52, 0.68)"
25024.jpg,"(0.58, 0.69)"
25482.jpg,"(0.52, 0.74)"
25910.jpg,"(0.52, 0.71)"
26266.jpg,"(0.35, 0.75)"
27162.jpg,"(0.45, 0.55)"
27480.jpg,"(0.35, 0.85)"
27778.jpg,"(0.60, 0.62)"
28391.jpg,"(0.52, 0.64)"
28438.jpg,"(0.50, 0.75)"
28620.jpg,"(0.52, 0.71)"
