frame,gaze
772.jpg,"(0.45, 0.65)"
1071.jpg,"(0.65, 0.65)"
1364.jpg,"(0.35, 0.65)"
1525.jpg,"(0.35, 0.65)"
1633.jpg,"(0.45, 0.60)"
1727.jpg,"(0.45, 0.60)"
2059.jpg,"(0.50, 0.60)"
2495.jpg,"(0.45, 0.63)"
3131.jpg,"(0.58, 0.56)"
3198.jpg,"(0.35, 0.60)"
3751.jpg,"(0.45, 0.65)"
3929.jpg,"(0.45, 0.65)"
3998.jpg,"(0.50, 0.70)"
4214.jpg,"(0.50, 0.65)"
4240.jpg,"(0.65, 0.70)"
4407.jpg,"(0.70, 0.65)"
4563.jpg,"(0.50, 0.55)"
5936.jpg,"(0.65, 0.58)"
6032.jpg,"(0.56, 0.63)"
6165.jpg,"(0.42, 0.68)"
6306.jpg,"(0.45, 0.60)"
6635.jpg,"(0.65, 0.55)"
6753.jpg,"(0.58, 0.49)"
7020.jpg,"(0.55, 0.65)"
7137.jpg,"(0.85, 0.72)"
7749.jpg,"(0.50, 0.50)"
