frame,gaze
946.jpg,"(0.58, 0.54)"
1119.jpg,"(0.45, 0.60)"
1161.jpg,"(0.56, 0.58)"
1279.jpg,"(0.59, 0.61)"
1419.jpg,"(0.45, 0.52)"
1702.jpg,"(0.50, 0.60)"
1788.jpg,"(0.50, 0.50)"
1912.jpg,"(0.35, 0.60)"
1920.jpg,"(0.35, 0.65)"
2028.jpg,"(0.50, 0.60)"
2141.jpg,"(0.52, 0.63)"
2268.jpg,"(0.35, 0.60)"
2531.jpg,"(0.50, 0.60)"
2660.jpg,"(0.45, 0.60)"
2783.jpg,"(0.50, 0.60)"
2820.jpg,"(0.50, 0.60)"
3201.jpg,"(0.52, 0.64)"
3445.jpg,"(0.52, 0.60)"
3529.jpg,"(0.50, 0.50)"
4364.jpg,"(0.45, 0.55)"
4420.jpg,"(0.58, 0.64)"
4679.jpg,"(0.50, 0.60)"
4795.jpg,"(0.52, 0.61)"
5070.jpg,"(0.52, 0.64)"
5208.jpg,"(0.58, 0.56)"
5612.jpg,"(0.50, 0.60)"
