frame,gaze
467.jpg,"(0.50, 0.65)"
731.jpg,"(0.50, 0.60)"
874.jpg,"(0.55, 0.65)"
1118.jpg,"(0.55, 0.68)"
1426.jpg,"(0.52, 0.65)"
1901.jpg,"(0.45, 0.65)"
2014.jpg,"(0.25, 0.65)"
2329.jpg,"(0.35, 0.48)"
2580.jpg,"(0.35, 0.80)"
2655.jpg,"(0.45, 0.85)"
6352.jpg,"(0.50, 0.65)"
6607.jpg,"(0.45, 0.65)"
8155.jpg,"(0.52, 0.68)"
8920.jpg,"(0.52, 0.64)"
9229.jpg,"(0.45, 0.80)"
9379.jpg,"(0.35, 0.75)"
9423.jpg,"(0.58, 0.76)"
9603.jpg,"(0.52, 0.78)"
9658.jpg,"(0.25, 0.65)"
9829.jpg,"(0.35, 0.75)"
9903.jpg,"(0.45, 0.65)"
10086.jpg,"(0.45, 0.75)"
10386.jpg,"(0.45, 0.65)"
10479.jpg,"(0.25, 0.60)"
10756.jpg,"(0.50, 0.45)"
10836.jpg,"(0.35, 0.65)"
10982.jpg,"(0.35, 0.78)"
11037.jpg,"(0.45, 0.65)"
12608.jpg,"(0.58, 0.72)"
12742.jpg,"(0.48, 0.65)"
13164.jpg,"(0.45, 0.65)"
13256.jpg,"(0.58, 0.67)"
13428.jpg,"(0.52, 0.76)"
13554.jpg,"(0.50, 0.60)"
13958.jpg,"(0.45, 0.65)"
14137.jpg,"(0.35, 0.60)"
14310.jpg,"(0.25, 0.65)"
15614.jpg,"(0.75, 0.65)"
15703.jpg,"(0.35, 0.65)"
15805.jpg,"(0.35, 0.72)"
17133.jpg,"(0.50, 0.60)"
17488.jpg,"(0.45, 0.65)"
17677.jpg,"(0.45, 0.60)"
17808.jpg,"(0.45, 0.60)"
17870.jpg,"(0.45, 0.60)"
17982.jpg,"(0.52, 0.63)"
18509.jpg,"(0.15, 0.60)"
19030.jpg,"(0.35, 0.75)"
19105.jpg,"(0.25, 0.75)"
19724.jpg,"(0.52, 0.78)"
20223.jpg,"(0.65, 0.70)"
20365.jpg,"(0.52, 0.60)"
20435.jpg,"(0.48, 0.56)"
21226.jpg,"(0.35, 0.70)"
21775.jpg,"(0.58, 0.74)"
21846.jpg,"(0.65, 0.85)"
22603.jpg,"(0.45, 0.75)"
22654.jpg,"(0.35, 0.60)"
22728.jpg,"(0.45, 0.65)"
22971.jpg,"(0.52, 0.68)"
23175.jpg,"(0.35, 0.75)"
23288.jpg,"(0.25, 0.75)"
23612.jpg,"(0.45, 0.60)"
23690.jpg,"(0.58, 0.62)"
23787.jpg,"(0.45, 0.60)"
24057.jpg,"(0.45, 0.65)"
24103.jpg,"(0.35, 0.65)"
24823.jpg,"(0.45, 0.75)"
24862.jpg,"(0.35, 0.75)"
25076.jpg,"(0.25, 0.65)"
25723.jpg,"(0.58, 0.70)"
26060.jpg,"(0.45, 0.68)"
26350.jpg,"(0.35, 0.85)"
