frame,gaze
111.jpg,"(0.52, 0.67)"
793.jpg,"(0.52, 0.64)"
1033.jpg,"(0.52, 0.68)"
1151.jpg,"(0.65, 0.70)"
1320.jpg,"(0.50, 0.50)"
1429.jpg,"(0.50, 0.45)"
1765.jpg,"(0.25, 0.70)"
2686.jpg,"(0.45, 0.55)"
2814.jpg,"(0.50, 0.50)"
3005.jpg,"(0.58, 0.69)"
3295.jpg,"(0.58, 0.64)"
3690.jpg,"(0.52, 0.68)"
4774.jpg,"(0.52, 0.68)"
4823.jpg,"(0.58, 0.76)"
6754.jpg,"(0.52, 0.63)"
6951.jpg,"(0.35, 0.75)"
7033.jpg,"(0.65, 0.70)"
8773.jpg,"(0.54, 0.63)"
8836.jpg,"(0.65, 0.58)"
8880.jpg,"(0.65, 0.65)"
9771.jpg,"(0.48, 0.72)"
9845.jpg,"(0.48, 0.47)"
10246.jpg,"(0.52, 0.64)"
10664.jpg,"(0.45, 0.60)"
10753.jpg,"(0.58, 0.62)"
10812.jpg,"(0.35, 0.70)"
11202.jpg,"(0.52, 0.63)"
11235.jpg,"(0.65, 0.60)"
11372.jpg,"(0.52, 0.60)"
11455.jpg,"(0.35, 0.60)"
11625.jpg,"(0.45, 0.65)"
12000.jpg,"(0.45, 0.60)"
12606.jpg,"(0.65, 0.65)"
13010.jpg,"(0.52, 0.64)"
13251.jpg,"(0.48, 0.50)"
13303.jpg,"(0.45, 0.65)"
13373.jpg,"(0.35, 0.65)"
13936.jpg,"(0.45, 0.55)"
14404.jpg,"(0.50, 0.50)"
14569.jpg,"(0.58, 0.62)"
14713.jpg,"(0.75, 0.65)"
15026.jpg,"(0.35, 0.65)"
15179.jpg,"(0.50, 0.60)"
15883.jpg,"(0.50, 0.50)"
16212.jpg,"(0.45, 0.65)"
16954.jpg,"(0.45, 0.65)"
17286.jpg,"(0.45, 0.75)"
17752.jpg,"(0.45, 0.60)"
18049.jpg,"(0.58, 0.64)"
20384.jpg,"(0.45, 0.65)"
20542.jpg,"(0.65, 0.75)"
20642.jpg,"(0.52, 0.63)"
21081.jpg,"(0.45, 0.60)"
23809.jpg,"(0.35, 0.65)"
23904.jpg,"(0.50, 0.60)"
24438.jpg,"(0.52, 0.60)"
24771.jpg,"(0.35, 0.65)"
24929.jpg,"(0.50, 0.45)"
25026.jpg,"(0.56, 0.89)"
25796.jpg,"(0.45, 0.60)"
27529.jpg,"(0.45, 0.60)"
27925.jpg,"(0.50, 0.50)"
28098.jpg,"(0.50, 0.50)"
28306.jpg,"(0.52, 0.60)"
28380.jpg,"(0.52, 0.68)"
28474.jpg,"(0.50, 0.80)"
28632.jpg,"(0.58, 0.64)"
28723.jpg,"(0.52, 0.64)"
29020.jpg,"(0.50, 0.60)"
29672.jpg,"(0.54, 0.63)"
29827.jpg,"(0.50, 0.65)"
29947.jpg,"(0.75, 0.65)"
30059.jpg,"(0.52, 0.54)"
30093.jpg,"(0.65, 0.65)"
30152.jpg,"(0.50, 0.60)"
30359.jpg,"(0.52, 0.65)"
31159.jpg,"(0.52, 0.60)"
31228.jpg,"(0.52, 0.76)"
31448.jpg,"(0.52, 0.63)"
33527.jpg,"(0.25, 0.80)"
33668.jpg,"(0.52, 0.60)"
33823.jpg,"(0.52, 0.63)"
33956.jpg,"(0.55, 0.65)"
34139.jpg,"(0.50, 0.45)"
34264.jpg,"(0.45, 0.45)"
34674.jpg,"(0.65, 0.65)"
34829.jpg,"(0.50, 0.60)"
34940.jpg,"(0.35, 0.75)"
