frame,gaze
248.jpg,"(0.65, 0.72)"
577.jpg,"(0.45, 0.50)"
4183.jpg,"(0.45, 0.70)"
4422.jpg,"(0.48, 0.65)"
4671.jpg,"(0.62, 0.68)"
6784.jpg,"(0.58, 0.69)"
6980.jpg,"(0.75, 0.78)"
7326.jpg,"(0.45, 0.58)"
9135.jpg,"(0.45, 0.65)"
9364.jpg,"(0.45, 0.65)"
9782.jpg,"(0.65, 0.75)"
10097.jpg,"(0.25, 0.45)"
10172.jpg,"(0.50, 0.60)"
10596.jpg,"(0.54, 0.62)"
10826.jpg,"(0.52, 0.58)"
11150.jpg,"(0.65, 0.75)"
11664.jpg,"(0.35, 0.60)"
12482.jpg,"(0.56, 0.68)"
13038.jpg,"(0.35, 0.65)"
13201.jpg,"(0.50, 0.50)"
13404.jpg,"(0.35, 0.65)"
13824.jpg,"(0.50, 0.50)"
13961.jpg,"(0.45, 0.70)"
14105.jpg,"(0.25, 0.65)"
14722.jpg,"(0.65, 0.62)"
14892.jpg,"(0.65, 0.75)"
14947.jpg,"(0.56, 0.58)"
15119.jpg,"(0.45, 0.70)"
15477.jpg,"(0.45, 0.70)"
15909.jpg,"(0.25, 0.65)"
16196.jpg,"(0.52, 0.68)"
16367.jpg,"(0.25, 0.60)"
16547.jpg,"(0.58, 0.64)"
16600.jpg,"(0.35, 0.65)"
16877.jpg,"(0.55, 0.70)"
17179.jpg,"(0.45, 0.68)"
17387.jpg,"(0.35, 0.60)"
17441.jpg,"(0.35, 0.48)"
17857.jpg,"(0.45, 0.58)"
18168.jpg,"(0.58, 0.72)"
18208.jpg,"(0.52, 0.68)"
18508.jpg,"(0.35, 0.75)"
18565.jpg,"(0.25, 0.75)"
18992.jpg,"(0.65, 0.68)"
19468.jpg,"(0.45, 0.45)"
20496.jpg,"(0.65, 0.60)"
21250.jpg,"(0.40, 0.50)"
21495.jpg,"(0.42, 0.56)"
23958.jpg,"(0.35, 0.45)"
24064.jpg,"(0.54, 0.63)"
24503.jpg,"(0.48, 0.65)"
25965.jpg,"(0.25, 0.60)"
