frame,gaze
367.jpg,"(0.58, 0.62)"
1625.jpg,"(0.65, 0.70)"
1953.jpg,"(0.52, 0.48)"
2104.jpg,"(0.52, 0.60)"
2279.jpg,"(0.50, 0.60)"
2842.jpg,"(0.50, 0.60)"
2875.jpg,"(0.45, 0.50)"
3059.jpg,"(0.35, 0.48)"
3064.jpg,"(0.50, 0.60)"
3130.jpg,"(0.50, 0.60)"
3230.jpg,"(0.65, 0.70)"
3291.jpg,"(0.45, 0.60)"
3557.jpg,"(0.50, 0.60)"
5452.jpg,"(0.65, 0.75)"
5487.jpg,"(0.50, 0.60)"
5662.jpg,"(0.52, 0.70)"
5734.jpg,"(0.52, 0.65)"
5797.jpg,"(0.75, 0.52)"
5915.jpg,"(0.65, 0.48)"
6255.jpg,"(0.65, 0.55)"
6510.jpg,"(0.65, 0.45)"
6765.jpg,"(0.52, 0.74)"
