frame,gaze
678.jpg,"(0.45, 0.75)"
892.jpg,"(0.50, 0.60)"
1046.jpg,"(0.42, 0.78)"
1512.jpg,"(0.50, 0.60)"
2922.jpg,"(0.65, 0.78)"
3340.jpg,"(0.52, 0.74)"
4165.jpg,"(0.45, 0.80)"
4347.jpg,"(0.25, 0.65)"
4550.jpg,"(0.45, 0.70)"
4779.jpg,"(0.45, 0.70)"
5928.jpg,"(0.45, 0.65)"
6091.jpg,"(0.45, 0.78)"
6344.jpg,"(0.45, 0.75)"
6527.jpg,"(0.45, 0.75)"
6811.jpg,"(0.48, 0.75)"
6955.jpg,"(0.52, 0.78)"
7092.jpg,"(0.45, 0.45)"
7284.jpg,"(0.45, 0.75)"
7328.jpg,"(0.35, 0.75)"
7501.jpg,"(0.52, 0.78)"
7847.jpg,"(0.45, 0.75)"
7943.jpg,"(0.45, 0.65)"
9222.jpg,"(0.50, 0.65)"
9307.jpg,"(0.58, 0.76)"
9680.jpg,"(0.58, 0.62)"
9752.jpg,"(0.52, 0.74)"
10122.jpg,"(0.35, 0.70)"
10192.jpg,"(0.52, 0.75)"
10428.jpg,"(0.52, 0.74)"
11743.jpg,"(0.52, 0.85)"
11778.jpg,"(0.45, 0.85)"
12007.jpg,"(0.35, 0.75)"
12291.jpg,"(0.52, 0.65)"
12471.jpg,"(0.50, 0.60)"
12653.jpg,"(0.54, 0.86)"
13893.jpg,"(0.52, 0.64)"
14223.jpg,"(0.35, 0.75)"
14367.jpg,"(0.52, 0.74)"
14550.jpg,"(0.52, 0.74)"
14700.jpg,"(0.15, 0.75)"
15200.jpg,"(0.52, 0.68)"
15255.jpg,"(0.45, 0.65)"
16220.jpg,"(0.45, 0.70)"
17030.jpg,"(0.35, 0.65)"
17522.jpg,"(0.52, 0.74)"
17591.jpg,"(0.52, 0.78)"
18084.jpg,"(0.35, 0.65)"
18136.jpg,"(0.52, 0.84)"
18557.jpg,"(0.52, 0.63)"
19942.jpg,"(0.35, 0.65)"
20213.jpg,"(0.52, 0.68)"
20328.jpg,"(0.65, 0.75)"
20472.jpg,"(0.52, 0.76)"
20548.jpg,"(0.45, 0.75)"
20632.jpg,"(0.25, 0.75)"
20818.jpg,"(0.45, 0.75)"
23308.jpg,"(0.55, 0.75)"
23481.jpg,"(0.58, 0.72)"
23527.jpg,"(0.52, 0.78)"
24216.jpg,"(0.45, 0.75)"
24387.jpg,"(0.48, 0.75)"
24532.jpg,"(0.48, 0.75)"
25216.jpg,"(0.45, 0.75)"
25531.jpg,"(0.52, 0.64)"
25631.jpg,"(0.52, 0.74)"
26061.jpg,"(0.45, 0.75)"
26101.jpg,"(0.58, 0.72)"
26342.jpg,"(0.58, 0.76)"
26755.jpg,"(0.65, 0.75)"
26796.jpg,"(0.48, 0.75)"
27275.jpg,"(0.65, 0.75)"
27306.jpg,"(0.45, 0.75)"
27415.jpg,"(0.35, 0.75)"
27595.jpg,"(0.45, 0.55)"
27954.jpg,"(0.65, 0.65)"
28003.jpg,"(0.65, 0.85)"
28621.jpg,"(0.65, 0.70)"
29096.jpg,"(0.35, 0.65)"
29255.jpg,"(0.52, 0.64)"
29595.jpg,"(0.35, 0.45)"
