frame,gaze
524.jpg,"(0.52, 0.65)"
766.jpg,"(0.45, 0.65)"
834.jpg,"(0.45, 0.65)"
949.jpg,"(0.45, 0.65)"
1512.jpg,"(0.52, 0.68)"
2559.jpg,"(0.65, 0.65)"
2680.jpg,"(0.56, 0.64)"
2775.jpg,"(0.45, 0.63)"
3351.jpg,"(0.35, 0.65)"
3665.jpg,"(0.50, 0.60)"
3723.jpg,"(0.45, 0.72)"
4329.jpg,"(0.35, 0.60)"
4399.jpg,"(0.50, 0.65)"
4495.jpg,"(0.50, 0.65)"
4505.jpg,"(0.50, 0.65)"
4766.jpg,"(0.58, 0.62)"
4899.jpg,"(0.53, 0.52)"
5866.jpg,"(0.35, 0.65)"
5989.jpg,"(0.65, 0.58)"
6185.jpg,"(0.58, 0.56)"
6298.jpg,"(0.45, 0.62)"
8313.jpg,"(0.65, 0.58)"
8885.jpg,"(0.65, 0.55)"
9111.jpg,"(0.50, 0.65)"
