frame,gaze
1002.jpg,"(0.65, 0.40)"
1139.jpg,"(0.52, 0.54)"
1606.jpg,"(0.45, 0.45)"
2257.jpg,"(0.52, 0.60)"
2380.jpg,"(0.65, 0.48)"
2663.jpg,"(0.52, 0.58)"
2712.jpg,"(0.58, 0.49)"
2904.jpg,"(0.65, 0.48)"
3092.jpg,"(0.52, 0.48)"
3462.jpg,"(0.35, 0.60)"
3565.jpg,"(0.58, 0.52)"
3607.jpg,"(0.45, 0.50)"
3962.jpg,"(0.52, 0.60)"
4005.jpg,"(0.54, 0.52)"
4090.jpg,"(0.35, 0.55)"
4100.jpg,"(0.50, 0.50)"
4207.jpg,"(0.52, 0.54)"
4244.jpg,"(0.58, 0.45)"
4389.jpg,"(0.45, 0.50)"
4573.jpg,"(0.65, 0.35)"
4585.jpg,"(0.65, 0.45)"
4613.jpg,"(0.58, 0.46)"
4900.jpg,"(0.65, 0.55)"
5189.jpg,"(0.58, 0.47)"
5314.jpg,"(0.52, 0.48)"
5939.jpg,"(0.70, 0.50)"
6137.jpg,"(0.52, 0.54)"
