frame,gaze
86.jpg,"(0.45, 0.68)"
166.jpg,"(0.50, 0.60)"
405.jpg,"(0.52, 0.64)"
572.jpg,"(0.50, 0.60)"
705.jpg,"(0.50, 0.60)"
1794.jpg,"(0.52, 0.61)"
2391.jpg,"(0.52, 0.65)"
3847.jpg,"(0.35, 0.80)"
3946.jpg,"(0.55, 0.45)"
4162.jpg,"(0.65, 0.70)"
4419.jpg,"(0.65, 0.75)"
4557.jpg,"(0.50, 0.60)"
4584.jpg,"(0.59, 0.72)"
4731.jpg,"(0.65, 0.70)"
4790.jpg,"(0.45, 0.75)"
6033.jpg,"(0.52, 0.71)"
6283.jpg,"(0.35, 0.60)"
6461.jpg,"(0.65, 0.65)"
6533.jpg,"(0.50, 0.65)"
6603.jpg,"(0.65, 0.65)"
6651.jpg,"(0.55, 0.60)"
6692.jpg,"(0.50, 0.50)"
6809.jpg,"(0.75, 0.45)"
7654.jpg,"(0.45, 0.65)"
8169.jpg,"(0.45, 0.70)"
9263.jpg,"(0.75, 0.65)"
9348.jpg,"(0.52, 0.64)"
9472.jpg,"(0.58, 0.76)"
9541.jpg,"(0.50, 0.65)"
10148.jpg,"(0.75, 0.55)"
10509.jpg,"(0.52, 0.68)"
10873.jpg,"(0.52, 0.60)"
10915.jpg,"(0.48, 0.72)"
11534.jpg,"(0.45, 0.65)"
12807.jpg,"(0.58, 0.62)"
13157.jpg,"(0.45, 0.68)"
13461.jpg,"(0.52, 0.64)"
14798.jpg,"(0.52, 0.68)"
14917.jpg,"(0.52, 0.68)"
15840.jpg,"(0.54, 0.72)"
16001.jpg,"(0.45, 0.60)"
16380.jpg,"(0.50, 0.75)"
16461.jpg,"(0.58, 0.65)"
16935.jpg,"(0.50, 0.60)"
17020.jpg,"(0.65, 0.60)"
17733.jpg,"(0.52, 0.60)"
18225.jpg,"(0.52, 0.68)"
18305.jpg,"(0.52, 0.64)"
18458.jpg,"(0.45, 0.65)"
18571.jpg,"(0.52, 0.68)"
19008.jpg,"(0.35, 0.75)"
19512.jpg,"(0.45, 0.78)"
19634.jpg,"(0.52, 0.64)"
19680.jpg,"(0.48, 0.52)"
19771.jpg,"(0.52, 0.60)"
20630.jpg,"(0.45, 0.50)"
20712.jpg,"(0.48, 0.75)"
21108.jpg,"(0.52, 0.65)"
21585.jpg,"(0.35, 0.75)"
21747.jpg,"(0.50, 0.45)"
22427.jpg,"(0.35, 0.65)"
22568.jpg,"(0.52, 0.68)"
22617.jpg,"(0.45, 0.70)"
22661.jpg,"(0.45, 0.75)"
23031.jpg,"(0.50, 0.65)"
23049.jpg,"(0.45, 0.80)"
23445.jpg,"(0.45, 0.65)"
23960.jpg,"(0.35, 0.85)"
24035.jpg,"(0.45, 0.65)"
24327.jpg,"(0.52, 0.68)"
25240.jpg,"(0.48, 0.65)"
25289.jpg,"(0.45, 0.75)"
25323.jpg,"(0.52, 0.65)"
25603.jpg,"(0.45, 0.75)"
25625.jpg,"(0.45, 0.65)"
25879.jpg,"(0.48, 0.65)"
26649.jpg,"(0.45, 0.60)"
26716.jpg,"(0.35, 0.65)"
26934.jpg,"(0.52, 0.68)"
27453.jpg,"(0.45, 0.65)"
