frame,gaze
375.jpg,"(0.52, 0.60)"
524.jpg,"(0.85, 0.65)"
757.jpg,"(0.52, 0.65)"
897.jpg,"(0.45, 0.60)"
1208.jpg,"(0.65, 0.58)"
1576.jpg,"(0.50, 0.45)"
2179.jpg,"(0.65, 0.45)"
3092.jpg,"(0.52, 0.65)"
3514.jpg,"(0.45, 0.45)"
3573.jpg,"(0.50, 0.60)"
4022.jpg,"(0.50, 0.60)"
4206.jpg,"(0.65, 0.58)"
4398.jpg,"(0.52, 0.58)"
5331.jpg,"(0.45, 0.65)"
5563.jpg,"(0.45, 0.60)"
5858.jpg,"(0.85, 0.70)"
6455.jpg,"(0.45, 0.45)"
6790.jpg,"(0.50, 0.40)"
7344.jpg,"(0.50, 0.60)"
7537.jpg,"(0.45, 0.60)"
7898.jpg,"(0.50, 0.60)"
8290.jpg,"(0.45, 0.60)"
8443.jpg,"(0.50, 0.60)"
8735.jpg,"(0.45, 0.65)"
9221.jpg,"(0.45, 0.60)"
9509.jpg,"(0.35, 0.68)"
9936.jpg,"(0.45, 0.65)"
