frame,gaze
405.jpg,"(0.50, 0.65)"
1265.jpg,"(0.50, 0.65)"
3001.jpg,"(0.52, 0.63)"
3028.jpg,"(0.65, 0.72)"
3175.jpg,"(0.50, 0.65)"
4255.jpg,"(0.52, 0.65)"
4336.jpg,"(0.52, 0.64)"
4708.jpg,"(0.35, 0.75)"
5006.jpg,"(0.52, 0.76)"
5171.jpg,"(0.35, 0.80)"
5531.jpg,"(0.55, 0.65)"
5537.jpg,"(0.35, 0.75)"
6065.jpg,"(0.54, 0.78)"
6136.jpg,"(0.52, 0.74)"
6200.jpg,"(0.52, 0.76)"
6884.jpg,"(0.56, 0.62)"
6900.jpg,"(0.52, 0.63)"
7120.jpg,"(0.52, 0.68)"
7386.jpg,"(0.35, 0.80)"
7547.jpg,"(0.50, 0.65)"
7875.jpg,"(0.52, 0.68)"
8094.jpg,"(0.50, 0.70)"
8360.jpg,"(0.52, 0.76)"
8655.jpg,"(0.65, 0.80)"
9316.jpg,"(0.58, 0.72)"
9442.jpg,"(0.52, 0.60)"
9713.jpg,"(0.50, 0.65)"
9908.jpg,"(0.50, 0.65)"
