frame,gaze
740.jpg,"(0.35, 0.45)"
806.jpg,"(0.45, 0.68)"
1697.jpg,"(0.45, 0.65)"
1886.jpg,"(0.52, 0.68)"
1914.jpg,"(0.50, 0.60)"
1949.jpg,"(0.52, 0.65)"
2028.jpg,"(0.48, 0.65)"
2069.jpg,"(0.52, 0.68)"
2120.jpg,"(0.52, 0.74)"
2222.jpg,"(0.45, 0.75)"
2367.jpg,"(0.52, 0.60)"
2501.jpg,"(0.52, 0.64)"
5680.jpg,"(0.35, 0.85)"
5733.jpg,"(0.52, 0.76)"
6840.jpg,"(0.35, 0.65)"
6929.jpg,"(0.52, 0.76)"
6979.jpg,"(0.58, 0.69)"
7054.jpg,"(0.55, 0.72)"
7442.jpg,"(0.25, 0.85)"
7663.jpg,"(0.45, 0.65)"
9472.jpg,"(0.52, 0.74)"
9778.jpg,"(0.25, 0.75)"
11468.jpg,"(0.52, 0.76)"
11534.jpg,"(0.50, 0.45)"
11779.jpg,"(0.28, 0.87)"
11867.jpg,"(0.45, 0.75)"
12788.jpg,"(0.52, 0.78)"
13056.jpg,"(0.45, 0.70)"
13144.jpg,"(0.15, 0.78)"
13256.jpg,"(0.52, 0.74)"
13404.jpg,"(0.52, 0.68)"
14629.jpg,"(0.45, 0.65)"
14755.jpg,"(0.58, 0.67)"
15560.jpg,"(0.52, 0.68)"
15830.jpg,"(0.25, 0.90)"
15943.jpg,"(0.52, 0.68)"
16006.jpg,"(0.55, 0.65)"
16156.jpg,"(0.35, 0.65)"
16319.jpg,"(0.45, 0.75)"
16632.jpg,"(0.52, 0.68)"
16834.jpg,"(0.50, 0.50)"
17129.jpg,"(0.50, 0.60)"
17462.jpg,"(0.45, 0.75)"
17640.jpg,"(0.50, 0.60)"
17779.jpg,"(0.45, 0.85)"
17861.jpg,"(0.50, 0.45)"
18008.jpg,"(0.50, 0.45)"
18086.jpg,"(0.45, 0.65)"
18806.jpg,"(0.35, 0.60)"
19450.jpg,"(0.52, 0.78)"
20262.jpg,"(0.50, 0.60)"
20781.jpg,"(0.45, 0.75)"
22199.jpg,"(0.45, 0.65)"
22736.jpg,"(0.35, 0.55)"
22843.jpg,"(0.58, 0.76)"
23343.jpg,"(0.45, 0.70)"
24914.jpg,"(0.35, 0.65)"
25048.jpg,"(0.65, 0.85)"
25121.jpg,"(0.50, 0.60)"
25187.jpg,"(0.65, 0.80)"
25364.jpg,"(0.56, 0.79)"
25635.jpg,"(0.52, 0.74)"
25740.jpg,"(0.45, 0.65)"
26434.jpg,"(0.35, 0.65)"
26618.jpg,"(0.45, 0.60)"
26815.jpg,"(0.52, 0.64)"
