frame,gaze
705.jpg,"(0.45, 0.60)"
3279.jpg,"(0.50, 0.60)"
3362.jpg,"(0.50, 0.45)"
3569.jpg,"(0.45, 0.55)"
3646.jpg,"(0.58, 0.46)"
3856.jpg,"(0.58, 0.48)"
3965.jpg,"(0.52, 0.48)"
4077.jpg,"(0.54, 0.52)"
5490.jpg,"(0.55, 0.60)"
5719.jpg,"(0.52, 0.65)"
6579.jpg,"(0.50, 0.60)"
7158.jpg,"(0.45, 0.65)"
7212.jpg,"(0.45, 0.60)"
8201.jpg,"(0.45, 0.60)"
8263.jpg,"(0.52, 0.60)"
8783.jpg,"(0.58, 0.62)"
8995.jpg,"(0.35, 0.40)"
9202.jpg,"(0.52, 0.48)"
10383.jpg,"(0.50, 0.40)"
10617.jpg,"(0.65, 0.70)"
10866.jpg,"(0.50, 0.40)"
10939.jpg,"(0.50, 0.45)"
11611.jpg,"(0.35, 0.45)"
11856.jpg,"(0.52, 0.48)"
12002.jpg,"(0.58, 0.49)"
12094.jpg,"(0.58, 0.49)"
12562.jpg,"(0.48, 0.57)"
12684.jpg,"(0.50, 0.45)"
12785.jpg,"(0.52, 0.60)"
13008.jpg,"(0.52, 0.60)"
