frame,gaze
1027.jpg,"(0.50, 0.60)"
1511.jpg,"(0.52, 0.63)"
2269.jpg,"(0.52, 0.60)"
2653.jpg,"(0.65, 0.60)"
2807.jpg,"(0.65, 0.60)"
3036.jpg,"(0.65, 0.55)"
3270.jpg,"(0.85, 0.65)"
3354.jpg,"(0.35, 0.60)"
3384.jpg,"(0.45, 0.65)"
3594.jpg,"(0.45, 0.50)"
3618.jpg,"(0.25, 0.45)"
3881.jpg,"(0.45, 0.65)"
4009.jpg,"(0.25, 0.30)"
5739.jpg,"(0.56, 0.54)"
5817.jpg,"(0.45, 0.60)"
5869.jpg,"(0.35, 0.25)"
6137.jpg,"(0.35, 0.65)"
6216.jpg,"(0.35, 0.55)"
6431.jpg,"(0.35, 0.55)"
6487.jpg,"(0.35, 0.48)"
6709.jpg,"(0.35, 0.48)"
7381.jpg,"(0.25, 0.30)"
7565.jpg,"(0.45, 0.45)"
7822.jpg,"(0.48, 0.72)"
