frame,gaze
827.jpg,"(0.50, 0.60)"
887.jpg,"(0.58, 0.72)"
991.jpg,"(0.50, 0.50)"
1106.jpg,"(0.50, 0.50)"
1201.jpg,"(0.52, 0.61)"
2596.jpg,"(0.65, 0.70)"
2656.jpg,"(0.52, 0.64)"
3256.jpg,"(0.45, 0.60)"
6301.jpg,"(0.58, 0.62)"
6391.jpg,"(0.58, 0.74)"
6460.jpg,"(0.58, 0.67)"
8655.jpg,"(0.45, 0.60)"
10547.jpg,"(0.45, 0.55)"
10646.jpg,"(0.52, 0.63)"
10723.jpg,"(0.55, 0.75)"
11325.jpg,"(0.45, 0.65)"
11398.jpg,"(0.54, 0.62)"
11815.jpg,"(0.65, 0.68)"
11890.jpg,"(0.52, 0.43)"
12346.jpg,"(0.65, 0.70)"
12457.jpg,"(0.25, 0.85)"
12827.jpg,"(0.35, 0.65)"
13054.jpg,"(0.45, 0.65)"
13204.jpg,"(0.45, 0.65)"
13337.jpg,"(0.54, 0.68)"
13733.jpg,"(0.58, 0.72)"
13921.jpg,"(0.52, 0.64)"
14367.jpg,"(0.52, 0.60)"
14747.jpg,"(0.52, 0.67)"
15422.jpg,"(0.52, 0.67)"
15882.jpg,"(0.52, 0.63)"
16130.jpg,"(0.52, 0.64)"
17003.jpg,"(0.65, 0.70)"
17063.jpg,"(0.45, 0.63)"
17220.jpg,"(0.45, 0.65)"
17486.jpg,"(0.50, 0.50)"
17615.jpg,"(0.52, 0.68)"
17650.jpg,"(0.58, 0.67)"
18835.jpg,"(0.35, 0.65)"
20138.jpg,"(0.45, 0.55)"
20205.jpg,"(0.35, 0.45)"
20853.jpg,"(0.35, 0.45)"
21335.jpg,"(0.35, 0.65)"
21921.jpg,"(0.35, 0.75)"
22034.jpg,"(0.35, 0.48)"
22209.jpg,"(0.58, 0.62)"
22737.jpg,"(0.52, 0.68)"
22809.jpg,"(0.50, 0.60)"
23341.jpg,"(0.45, 0.65)"
23590.jpg,"(0.54, 0.78)"
23765.jpg,"(0.52, 0.65)"
23927.jpg,"(0.50, 0.50)"
24089.jpg,"(0.45, 0.60)"
24469.jpg,"(0.50, 0.50)"
24696.jpg,"(0.56, 0.48)"
25692.jpg,"(0.35, 0.45)"
26595.jpg,"(0.65, 0.60)"
26684.jpg,"(0.55, 0.60)"
26928.jpg,"(0.65, 0.60)"
27157.jpg,"(0.45, 0.55)"
27365.jpg,"(0.52, 0.64)"
27897.jpg,"(0.52, 0.60)"
28759.jpg,"(0.55, 0.62)"
29054.jpg,"(0.65, 0.55)"
29310.jpg,"(0.52, 0.69)"
29627.jpg,"(0.45, 0.65)"
30758.jpg,"(0.50, 0.60)"
30896.jpg,"(0.50, 0.55)"
31323.jpg,"(0.75, 0.65)"
31657.jpg,"(0.45, 0.78)"
31840.jpg,"(0.65, 0.75)"
31898.jpg,"(0.58, 0.63)"
32417.jpg,"(0.50, 0.60)"
32515.jpg,"(0.65, 0.62)"
32787.jpg,"(0.55, 0.68)"
32859.jpg,"(0.54, 0.62)"
