frame,gaze
668.jpg,"(0.45, 0.60)"
926.jpg,"(0.35, 0.65)"
1058.jpg,"(0.65, 0.70)"
1351.jpg,"(0.52, 0.60)"
1698.jpg,"(0.55, 0.52)"
1890.jpg,"(0.55, 0.65)"
2014.jpg,"(0.52, 0.60)"
2333.jpg,"(0.55, 0.65)"
3644.jpg,"(0.50, 0.60)"
3718.jpg,"(0.45, 0.60)"
3773.jpg,"(0.45, 0.60)"
4022.jpg,"(0.45, 0.60)"
4045.jpg,"(0.50, 0.60)"
4640.jpg,"(0.50, 0.60)"
4812.jpg,"(0.50, 0.60)"
5211.jpg,"(0.58, 0.62)"
6140.jpg,"(0.45, 0.60)"
6497.jpg,"(0.52, 0.60)"
6631.jpg,"(0.52, 0.60)"
6843.jpg,"(0.52, 0.60)"
6918.jpg,"(0.52, 0.64)"
7242.jpg,"(0.50, 0.60)"
7376.jpg,"(0.50, 0.60)"
7662.jpg,"(0.52, 0.64)"
7734.jpg,"(0.45, 0.65)"
