frame,gaze
415.jpg,"(0.52, 0.65)"
823.jpg,"(0.52, 0.64)"
887.jpg,"(0.45, 0.65)"
1316.jpg,"(0.45, 0.75)"
1617.jpg,"(0.52, 0.68)"
1712.jpg,"(0.50, 0.60)"
1927.jpg,"(0.52, 0.68)"
1946.jpg,"(0.52, 0.78)"
2418.jpg,"(0.56, 0.87)"
2439.jpg,"(0.65, 0.85)"
2829.jpg,"(0.65, 0.65)"
2914.jpg,"(0.58, 0.62)"
3855.jpg,"(0.65, 0.60)"
3940.jpg,"(0.54, 0.68)"
3963.jpg,"(0.45, 0.65)"
4231.jpg,"(0.52, 0.64)"
4698.jpg,"(0.52, 0.74)"
4734.jpg,"(0.58, 0.62)"
4869.jpg,"(0.75, 0.65)"
5088.jpg,"(0.50, 0.65)"
5203.jpg,"(0.52, 0.71)"
5294.jpg,"(0.58, 0.64)"
5686.jpg,"(0.54, 0.71)"
