frame,gaze
1265.jpg,"(0.65, 0.60)"
1385.jpg,"(0.45, 0.70)"
1417.jpg,"(0.55, 0.70)"
1583.jpg,"(0.58, 0.72)"
1743.jpg,"(0.65, 0.72)"
1862.jpg,"(0.35, 0.85)"
2016.jpg,"(0.65, 0.75)"
2097.jpg,"(0.25, 0.80)"
2174.jpg,"(0.75, 0.65)"
2315.jpg,"(0.35, 0.75)"
2368.jpg,"(0.50, 0.55)"
2421.jpg,"(0.52, 0.63)"
3002.jpg,"(0.55, 0.65)"
3029.jpg,"(0.52, 0.68)"
3542.jpg,"(0.35, 0.70)"
3663.jpg,"(0.45, 0.65)"
3981.jpg,"(0.65, 0.52)"
4174.jpg,"(0.65, 0.65)"
4313.jpg,"(0.52, 0.74)"
6786.jpg,"(0.52, 0.74)"
6914.jpg,"(0.25, 0.65)"
7014.jpg,"(0.65, 0.75)"
7315.jpg,"(0.45, 0.70)"
7674.jpg,"(0.25, 0.70)"
8257.jpg,"(0.65, 0.75)"
8477.jpg,"(0.52, 0.64)"
8738.jpg,"(0.52, 0.61)"
8901.jpg,"(0.58, 0.64)"
8986.jpg,"(0.35, 0.75)"
10787.jpg,"(0.30, 0.65)"
11311.jpg,"(0.52, 0.63)"
11870.jpg,"(0.35, 0.65)"
12328.jpg,"(0.45, 0.55)"
14481.jpg,"(0.52, 0.64)"
14999.jpg,"(0.45, 0.60)"
15236.jpg,"(0.35, 0.65)"
15291.jpg,"(0.48, 0.62)"
15557.jpg,"(0.45, 0.65)"
15781.jpg,"(0.45, 0.68)"
16550.jpg,"(0.45, 0.65)"
16807.jpg,"(0.52, 0.85)"
18329.jpg,"(0.25, 0.65)"
18619.jpg,"(0.45, 0.65)"
18665.jpg,"(0.55, 0.70)"
21929.jpg,"(0.48, 0.62)"
22486.jpg,"(0.54, 0.67)"
22603.jpg,"(0.35, 0.65)"
23015.jpg,"(0.65, 0.30)"
23120.jpg,"(0.35, 0.65)"
23250.jpg,"(0.25, 0.75)"
23493.jpg,"(0.58, 0.72)"
24245.jpg,"(0.52, 0.65)"
24350.jpg,"(0.45, 0.75)"
24458.jpg,"(0.45, 0.65)"
25725.jpg,"(0.52, 0.65)"
26193.jpg,"(0.48, 0.65)"
