frame,gaze
218.jpg,"(0.35, 0.55)"
468.jpg,"(0.52, 0.68)"
747.jpg,"(0.65, 0.75)"
813.jpg,"(0.52, 0.65)"
1027.jpg,"(0.58, 0.62)"
1317.jpg,"(0.45, 0.60)"
1667.jpg,"(0.58, 0.62)"
1779.jpg,"(0.52, 0.64)"
2319.jpg,"(0.45, 0.60)"
2380.jpg,"(0.45, 0.65)"
2650.jpg,"(0.45, 0.60)"
2758.jpg,"(0.52, 0.60)"
2988.jpg,"(0.35, 0.45)"
3057.jpg,"(0.35, 0.65)"
3192.jpg,"(0.65, 0.58)"
3374.jpg,"(0.48, 0.62)"
3423.jpg,"(0.58, 0.38)"
3535.jpg,"(0.35, 0.80)"
4924.jpg,"(0.45, 0.62)"
5002.jpg,"(0.45, 0.65)"
5111.jpg,"(0.45, 0.65)"
5235.jpg,"(0.35, 0.70)"
5297.jpg,"(0.45, 0.60)"
5732.jpg,"(0.35, 0.65)"
5833.jpg,"(0.55, 0.60)"
5992.jpg,"(0.35, 0.75)"
6045.jpg,"(0.65, 0.70)"
6575.jpg,"(0.45, 0.60)"
6646.jpg,"(0.54, 0.68)"
6731.jpg,"(0.58, 0.69)"
6789.jpg,"(0.54, 0.62)"
6871.jpg,"(0.35, 0.75)"
7160.jpg,"(0.52, 0.60)"
7932.jpg,"(0.45, 0.75)"
8186.jpg,"(0.52, 0.64)"
